"","country_codes","countries","status","internal_id"
"1","ZAF","South Africa","ACTIVE","10001"
"2","LIE","Liechtenstein","ACTIVE","10004"
"3","MCO","Monaco","SUSPENDED","10014"
"4","BEL","Belgium","SUSPENDED","10015"
"5","LBN","Lebanon","ACTIVE","10029"
"6","MCO","Monaco","UNRECOVERABLE ACCOUNTS","1004"
"7","CHE","Switzerland","ACTIVE","10064"
"8","LBN","Lebanon","ACTIVE","10106"
"9","MYS","Malaysia","SUSPENDED","10116"
"10","CHE","Switzerland","ACTIVE","10121"
"11","ESP","Spain","SUSPENDED","10140"
"12","GBR","United Kingdom","INACTIVE","1"
"13","JEY;GBR","Jersey;United Kingdom","SUSPENDED","10"
"14","FRA","France","SUSPENDED","10008"
"15","LUX","Luxembourg","SUSPENDED","1003"
"16","CHE","Switzerland","ACTIVE","10050"
"17","TWN","Taiwan, Province of China","SUSPENDED","10060"
"18","CHE","Switzerland","SUSPENDED","10069"
"19","CHE","Switzerland","ACTIVE","10078"
"20","EST","Estonia","ACTIVE","10086"
"21","CHE","Switzerland","ACTIVE","10096"
"22","MEX","Mexico","SUSPENDED","1010"
"23","CHE","Switzerland","SUSPENDED","10013"
"24","GBR","United Kingdom","ACTIVE","10018"
"25","GBR","United Kingdom","SUSPENDED","10020"
"26","CHE","Switzerland","ACTIVE","10030"
"27","FRA","France","SUSPENDED","10033"
"28","CHE","Switzerland","ACTIVE","10038"
"29","CHE","Switzerland","ACTIVE","10045"
"30","CHE","Switzerland","ACTIVE","10048"
"31","CHE","Switzerland","ACTIVE","10066"
"32","ARG","Argentina","SUSPENDED","10068"
"33","GBR","United Kingdom","SUSPENDED","1008"
"34","GGY;GBR","Guernsey;United Kingdom","SUSPENDED","1009"
"35","USA","United States","SUSPENDED","1000"
"36","CHE","Switzerland","ACTIVE","10032"
"37","CHE","Switzerland","ACTIVE","10034"
"38","GBR","United Kingdom","SUSPENDED","10040"
"39","CHE","Switzerland","SUSPENDED","10054"
"40","CHE","Switzerland","ACTIVE","10081"
"41","CHE","Switzerland","ACTIVE","10097"
"42","CHE","Switzerland","ACTIVE","10101"
"43","CHE","Switzerland","ACTIVE","10111"
"44","CHE","Switzerland","ACTIVE","10115"
"45","LIE","Liechtenstein","SUSPENDED","10129"
"46","VEN","Venezuela, Bolivarian Republic of","SUSPENDED","10155"
