"","country_codes","countries","status","internal_id"
"1","ZAF","South Africa","ACTIVE","10001"
"2","ZAF","South Africa","UNRECOVERABLE ACCOUNTS","10472"
"3","ZAF","South Africa","SUSPENDED","10218"
"4","ZAF","South Africa","SUSPENDED","10484"
"5","ZAF","South Africa","SUSPENDED","105"
"6","ZAF","South Africa","SUSPENDED","10557"
"7","ZAF","South Africa","SUSPENDED","11102"
"8","ZAF","South Africa","DELINQUENT","1150"
"9","ZAF","South Africa","ACTIVE","11762"
"10","ZAF","South Africa","ACTIVE","13495"
"11","ZAF","South Africa","SUSPENDED","12714"
"12","ZAF","South Africa","SUSPENDED","14743"
"13","ZAF","South Africa","ACTIVE","15553"
"14","ZAF","South Africa","SUSPENDED","12865"
"15","ZAF","South Africa","SUSPENDED","16633"
"16","ZAF","South Africa","ACTIVE","21633"
"17","ZAF","South Africa","SUSPENDED","18942"
"18","ZAF","South Africa","UNRECOVERABLE ACCOUNTS","1652"
"19","ZAF","South Africa","SUSPENDED","15668"
"20","ZAF","South Africa","PROSPECT","18961"
"21","ZAF","South Africa","INACTIVE","20847"
"22","ZAF","South Africa","ACTIVE","22452"
"23","ZAF","South Africa","SUSPENDED","27160"
"24","ZAF","South Africa","ACTIVE","31713"
"25","ZAF","South Africa","ACTIVE","37014"
"26","ZAF","South Africa","UNRECOVERABLE ACCOUNTS","3544"
"27","ZAF","South Africa","SUSPENDED","3724"
"28","ZAF","South Africa","SUSPENDED","3498"
"29","ZAF","South Africa","ACTIVE","32299"
"30","ZAF","South Africa","SUSPENDED","4027"
"31","ZAF","South Africa","INACTIVE","3526"
"32","ZAF","South Africa","SUSPENDED","3525"
"33","ZAF","South Africa","SUSPENDED","3591"
"34","ZAF","South Africa","SUSPENDED","9869"
"35","ZAF","South Africa","ACTIVE","39276"
"36","ZAF","South Africa","SUSPENDED","4858"
"37","ZAF","South Africa","ACTIVE","37980"
"38","ZAF","South Africa","UNRECOVERABLE ACCOUNTS","4055"
"39","ZAF","South Africa","SUSPENDED","725"
"40","ZAF","South Africa","SUSPENDED","6586"
"41","ZAF","South Africa","SUSPENDED","8827"
"42","ZAF","South Africa","SUSPENDED","8849"
"43","ZAF","South Africa","SUSPENDED","9816"
"44","ZAF","South Africa","SUSPENDED","9871"
"45","ZAF","South Africa","SUSPENDED","12940"
"46","ZAF","South Africa","SUSPENDED","13691"
"47","ZAF","South Africa","ACTIVE","13211"
"48","ZAF","South Africa","ACTIVE","9135"
"49","ZAF","South Africa","SUSPENDED","9190"
"50","ZAF","South Africa","SUSPENDED","9430"
"51","ZAF","South Africa","ACTIVE","23544"
"52","ZAF","South Africa","ACTIVE","31712"
"53","ZAF","South Africa","ACTIVE","37566"
"54","ZAF","South Africa","SUSPENDED","4361"
"55","ZAF","South Africa","ACTIVE","7855"
"56","ZAF","South Africa","SUSPENDED","9588"
"57","LIE","Liechtenstein","ACTIVE","10004"
"58","LIE","Liechtenstein","SUSPENDED","10129"
"59","LIE","Liechtenstein","INACTIVE","10011"
"60","LIE","Liechtenstein","PROSPECT","10316"
"61","LIE","Liechtenstein","SUSPENDED","10346"
"62","LIE","Liechtenstein","SUSPENDED","10380"
"63","LIE","Liechtenstein","SUSPENDED","10342"
"64","LIE","Liechtenstein","ACTIVE","108"
"65","LIE","Liechtenstein","SUSPENDED","10545"
"66","LIE","Liechtenstein","ACTIVE","14368"
"67","LIE","Liechtenstein","ACTIVE","14322"
"68","LIE","Liechtenstein","ACTIVE","14350"
"69","LIE","Liechtenstein","ACTIVE","14305"
"70","LIE","Liechtenstein","CLIENT IN REPRESENTATIVE TERRITORY","1185"
"71","LIE","Liechtenstein","UNRECOVERABLE ACCOUNTS","1410"
"72","LIE","Liechtenstein","ACTIVE","14363"
"73","LIE","Liechtenstein","ACTIVE","14381"
"74","LIE","Liechtenstein","ACTIVE","14478"
"75","LIE","Liechtenstein","ACTIVE","14334"
"76","LIE","Liechtenstein","ACTIVE","15057"
"77","LIE","Liechtenstein","ACTIVE","15094"
"78","LIE","Liechtenstein","ACTIVE","15095"
"79","LIE","Liechtenstein","ACTIVE","15272"
"80","LIE","Liechtenstein","ACTIVE","15423"
"81","LIE","Liechtenstein","ACTIVE","15847"
"82","LIE","Liechtenstein","ACTIVE","16689"
"83","LIE","Liechtenstein","SUSPENDED","16702"
"84","LIE","Liechtenstein","ACTIVE","17051"
"85","LIE","Liechtenstein","ACTIVE","17861"
"86","LIE","Liechtenstein","SUSPENDED","18505"
"87","LIE","Liechtenstein","ACTIVE","18528"
"88","LIE","Liechtenstein","ACTIVE","17002"
"89","LIE","Liechtenstein","ACTIVE","14307"
"90","LIE","Liechtenstein","ACTIVE","14312"
"91","LIE","Liechtenstein","ACTIVE","14339"
"92","LIE","Liechtenstein","ACTIVE","14370"
"93","LIE","Liechtenstein","ACTIVE","14369"
"94","LIE","Liechtenstein","ACTIVE","14304"
"95","LIE","Liechtenstein","ACTIVE","14436"
"96","LIE","Liechtenstein","ACTIVE","14260"
"97","LIE","Liechtenstein","ACTIVE","22469"
"98","LIE","Liechtenstein","ACTIVE","14340"
"99","LIE","Liechtenstein","ACTIVE","14341"
"100","LIE","Liechtenstein","ACTIVE","14345"
"101","LIE","Liechtenstein","ACTIVE","14346"
"102","LIE","Liechtenstein","ACTIVE","14374"
"103","LIE","Liechtenstein","ACTIVE","14785"
"104","LIE","Liechtenstein","ACTIVE","15091"
"105","LIE","Liechtenstein","ACTIVE","15775"
"106","LIE","Liechtenstein","ACTIVE","16870"
"107","LIE","Liechtenstein","ACTIVE","20375"
"108","LIE","Liechtenstein","ACTIVE","20557"
"109","LIE","Liechtenstein","ACTIVE","27684"
"110","LIE","Liechtenstein","SUSPENDED","1844"
"111","LIE","Liechtenstein","ACTIVE","17877"
"112","LIE","Liechtenstein","ACTIVE","24028"
"113","LIE","Liechtenstein","ACTIVE","19872"
"114","LIE","Liechtenstein","ACTIVE","25980"
"115","LIE","Liechtenstein","ACTIVE","19630"
"116","LIE","Liechtenstein","ACTIVE","20363"
"117","LIE","Liechtenstein","ACTIVE","21141"
"118","LIE","Liechtenstein","ACTIVE","25056"
"119","LIE","Liechtenstein","ACTIVE","22284"
"120","LIE","Liechtenstein","ACTIVE","24123"
"121","LIE","Liechtenstein","ACTIVE","22592"
"122","LIE","Liechtenstein","ACTIVE","24327"
"123","LIE","Liechtenstein","ACTIVE","25737"
"124","LIE","Liechtenstein","ACTIVE","24318"
"125","LIE","Liechtenstein","ACTIVE","26087"
"126","LIE","Liechtenstein","ACTIVE","27325"
"127","LIE","Liechtenstein","ACTIVE","27461"
"128","LIE","Liechtenstein","ACTIVE","25334"
"129","LIE","Liechtenstein","ACTIVE","25947"
"130","LIE","Liechtenstein","ACTIVE","25624"
"131","LIE","Liechtenstein","ACTIVE","26666"
"132","LIE","Liechtenstein","ACTIVE","28895"
"133","LIE","Liechtenstein","SUSPENDED","3027"
"134","LIE","Liechtenstein","ACTIVE","30435"
"135","LIE","Liechtenstein","SUSPENDED","3129"
"136","LIE","Liechtenstein","ACTIVE","34385"
"137","LIE","Liechtenstein","ACTIVE","29504"
"138","LIE","Liechtenstein","SUSPENDED","338"
"139","LIE","Liechtenstein","ACTIVE","3909"
"140","LIE","Liechtenstein","ACTIVE","34624"
"141","LIE","Liechtenstein","ACTIVE","36781"
"142","LIE","Liechtenstein","ACTIVE","38942"
"143","LIE","Liechtenstein","ACTIVE","36577"
"144","LIE","Liechtenstein","ACTIVE","35718"
"145","LIE","Liechtenstein","ACTIVE","38170"
"146","LIE","Liechtenstein","ACTIVE","38396"
"147","LIE","Liechtenstein","ACTIVE","36102"
"148","LIE","Liechtenstein","SUSPENDED","46"
"149","LIE","Liechtenstein","ACTIVE","4676"
"150","LIE","Liechtenstein","SUSPENDED","3781"
"151","LIE","Liechtenstein","SUSPENDED","6758"
"152","LIE","Liechtenstein","ACTIVE","39460"
"153","LIE","Liechtenstein","ACTIVE","39649"
"154","LIE","Liechtenstein","SUSPENDED","769"
"155","LIE","Liechtenstein","ACTIVE","8360"
"156","LIE","Liechtenstein","ACTIVE","8204"
"157","LIE","Liechtenstein","ACTIVE","9139"
"158","LIE","Liechtenstein","SUSPENDED","9156"
