Webster, A 		1	1	31.0	1.68	.500	1.37	.383	.585	.968	4.94	5.81	9.29	0.85	16.68
Whitley, C 		1	2	19.1	1.29	.333	1.41	.321	.442	.763	7.45	2.33	9.31	3.20	16.71
Yates, K 		1	0	20.1	1.48	1.000	0.60	.337	.667	1.004	9.30	3.10	10.18	3.00	20.07
Achter, A 		0	1	13.1	1.35	.000	0.53	.310	.481	.791	9.45	4.05	8.10	2.33	17.10
Albers, A 		0	0	2.2	1.13	-	1.33	.273	.444	.717	3.38	6.75	3.38	0.50	13.12
Alexander, S 		0	0	6.0	1.33	-	3.33	.360	.238	.598	4.50	4.50	7.50	1.00	14.33
Almonte, M 		0	2	8.2	1.62	.000	1.67	.366	.576	.942	10.38	7.27	7.27	1.43	21.35
Alvarez, H 		0	4	22.1	1.57	.000	2.22	.357	.411	.768	3.63	2.82	11.28	1.29	14.96
Alvarez, R 		0	0	20.0	2.00	-	0.32	.400	.635	1.035	10.35	5.85	12.15	1.77	19.70
Amarista, A 		0	0	0.1	0.00	-	0.00	.000	.000	.000	0.00	0.00	0.00	-	6.00
Armstrong, S 		0	0	8.0	0.88	-	0.71	.233	.357	.590	12.38	2.25	5.63	5.50	16.38
Aro, J 		0	1	10.1	1.84	.000	0.29	.388	.614	1.001	6.97	3.48	13.06	2.00	17.71
Asher, A 		0	6	29.0	1.79	.000	0.68	.390	.629	1.019	4.97	3.10	13.03	1.60	17.28
Aumont, P 		0	1	4.0	3.00	.000	1.67	.522	.813	1.334	6.75	15.75	11.25	0.43	26.00
Axelrod, D 		0	1	12.1	1.54	.000	0.56	.328	.540	.868	8.76	5.84	8.03	1.50	19.14
Bailey, A 		0	1	8.2	1.62	.000	0.62	.341	.471	.812	6.23	5.19	9.35	1.20	19.27
Bailey, H 		0	1	11.1	1.76	.000	2.11	.392	.617	1.009	2.38	3.18	12.71	0.75	15.09
Baker, S 		0	1	11.0	1.27	.000	1.09	.311	.643	.954	6.55	2.45	9.00	2.67	16.82
Balfour, G 		0	0	4.1	1.62	-	0.44	.381	.467	.848	0.00	8.31	6.23	0.00	20.54
Barrios, Y 		0	0	6.2	0.45	-	1.00	.136	.182	.318	9.45	0.00	4.05	-	15.15
Bass, A 		0	0	64.0	1.34	-	1.33	.323	.433	.756	6.33	2.81	9.28	2.25	16.39
Beachy, B 		0	1	8.0	2.00	.000	0.80	.421	.531	.952	5.63	6.75	11.25	0.83	20.00
Beck, C 		0	1	6.0	2.33	.000	1.33	.467	.577	1.044	4.50	6.00	15.00	0.75	16.83
Beeler, D 		0	1	8.1	2.52	.000	3.50	.457	.462	.918	7.56	7.56	15.12	1.00	20.52
Belisario, R 		0	0	8.0	1.50	-	8.00	.333	.344	.677	6.75	4.50	9.00	1.50	19.13
Beliveau, J 		0	0	2.2	2.63	-	0.50	.467	.786	1.252	6.75	3.38	20.25	2.00	24.00
Bochy, B 		0	0	3.0	0.67	-	0.20	.250	.100	.350	9.00	3.00	3.00	3.00	14.33
Bracho, S 		0	0	12.1	1.05	-	0.19	.280	.400	.680	12.41	2.92	6.57	4.25	17.43
Breslow, C 		0	4	65.0	1.42	.000	0.63	.339	.486	.825	6.37	3.18	9.55	2.00	15.83
Brigham, J 		0	1	16.2	2.16	.000	1.33	.440	.548	.988	6.48	4.32	15.12	1.50	18.48
Broadway, M 		0	2	17.1	1.56	.000	0.89	.368	.471	.839	6.75	3.63	10.38	1.86	16.73
Buchanan, J 		0	0	9.0	1.00	-	2.67	.278	.387	.665	5.00	4.00	5.00	1.25	15.22
Burawa, D 		0	0	13.0	1.23	-	1.89	.315	.391	.706	7.62	3.46	7.62	2.20	16.77
Cabral, C 		0	0	1.0	1.00	-	-	.333	.000	.333	9.00	9.00	0.00	1.00	15.00
Campos, L 		0	0	1.0	2.00	-	1.00	.400	.500	.900	9.00	9.00	9.00	1.00	22.00
Capuano, C 		0	4	40.2	1.82	.000	0.93	.397	.494	.891	8.41	4.87	11.51	1.73	18.32
Carpenter, D 		0	1	24.2	1.38	.000	0.90	.337	.473	.810	5.47	3.28	9.12	1.67	15.81
Carpenter, D 		0	0	3.2	1.64	-	0.50	.353	.765	1.118	12.27	0.00	14.73	-	18.00
Castro, A 		0	1	4.0	2.75	.000	0.75	.524	.611	1.135	9.00	6.75	18.00	1.33	22.00
Castro, M 		0	3	17.2	1.75	.000	0.55	.373	.563	.937	9.17	5.09	10.70	1.80	16.58
Chamberlain, J 		0	2	27.2	1.70	.000	1.11	.378	.581	.959	7.48	2.93	12.36	2.56	19.41
Chapman, K 		0	0	5.1	1.31	-	0.40	.318	.421	.739	13.50	5.06	6.75	2.67	17.25
Chen, B 		0	1	6.1	2.84	.000	2.25	.514	.853	1.367	5.68	1.42	24.16	4.00	19.42
Cingrani, T 		0	3	33.1	1.68	.000	0.90	.383	.427	.811	10.53	6.75	8.37	1.56	19.98
Coke, P 		0	0	12.2	1.58	-	2.43	.357	.520	.877	8.53	3.55	10.66	2.40	18.79
Cole, A 		0	0	9.1	1.61	-	0.54	.349	.463	.812	8.68	0.96	13.50	9.00	16.82
Contreras, C 		0	0	28.0	1.50	-	0.75	.347	.379	.725	6.11	6.43	7.07	0.95	18.32
Cook, R 		0	2	8.2	3.12	.000	1.10	.500	.723	1.223	6.23	7.27	20.77	0.86	24.35
Cordier, E 		0	0	12.1	1.54	-	1.07	.357	.375	.732	5.11	4.38	9.49	1.17	17.59
Cornely, J 		0	0	1.0	4.00	-	0.00	.571	1.000	1.571	9.00	9.00	27.00	1.00	22.00
Correia, K 		0	3	23.1	1.93	.000	1.04	.402	.578	.980	5.40	3.09	14.27	1.75	18.04
Coulombe, D 		0	0	16.0	1.63	-	1.69	.361	.381	.742	6.19	5.06	9.56	1.22	16.56
Cravy, T 		0	8	42.2	1.62	.000	0.93	.372	.479	.851	7.38	4.64	9.91	1.59	17.84
Crockett, K 		0	0	17.2	1.36	-	1.83	.338	.359	.697	7.64	3.57	8.66	2.14	15.91
Davies, K 		0	0	2.1	1.29	-	4.00	.300	.300	.600	7.71	0.00	11.57	-	16.29
Davis, I 		0	0	2.0	1.00	-	1.50	.250	.286	.536	4.50	4.50	4.50	1.00	13.00
De Fratus, J 		0	2	80.0	1.55	.000	0.92	.360	.462	.822	7.65	3.60	10.35	2.13	18.06
De Los Santos, A 		0	0	1.2	1.80	-	1.00	.375	.714	1.089	16.20	5.40	10.80	3.00	18.60
De Paula, J 		0	0	3.1	1.80	-	0.40	.400	.455	.855	5.40	10.80	5.40	0.50	19.80
Decker, J 		0	0	1.0	2.00	-	0.50	.400	.600	1.000	0.00	0.00	18.00	-	15.00
Deduno, S 		0	1	21.0	1.57	.000	1.39	.379	.524	.903	7.29	3.86	10.29	1.89	17.52
Denorfia, C 		0	0	0.1	0.00	-	-	.000	.000	.000	0.00	0.00	0.00	-	6.00
Diaz, J 		0	1	19.0	1.16	.000	1.38	.282	.333	.615	8.53	2.84	7.58	3.00	14.58
Drabek, K 		0	0	5.1	2.06	-	0.33	.423	.542	.965	5.06	3.38	15.19	1.50	16.88
Drake, O 		0	0	15.2	1.60	-	0.88	.347	.361	.708	9.77	5.17	9.19	1.89	19.02
Edwards, C 		0	0	4.2	1.29	-	2.00	.316	.250	.566	7.71	5.79	5.79	1.33	15.43
Edwards, J 		0	0	16.2	1.68	-	0.25	.373	.456	.829	11.88	8.64	6.48	1.38	18.90
Elmore, J 		0	0	1.0	3.00	-	0.50	.500	1.000	1.500	0.00	0.00	27.00	-	17.00
Eveland, D 		0	1	3.1	2.40	.000	2.00	.444	.857	1.302	10.80	8.10	13.50	1.33	18.30
Farmer, B 		0	4	40.1	1.74	.000	1.07	.395	.591	.986	5.36	3.79	11.83	1.41	17.28
Faulkner, A 		0	0	9.2	1.14	-	1.11	.275	.405	.680	9.31	2.79	7.45	3.33	16.24
Feliz, M 		0	0	8.0	1.63	-	0.89	.368	.515	.884	7.88	4.50	10.13	1.75	21.75
Ferrell, J 		0	0	11.1	1.41	-	0.75	.320	.511	.831	4.76	3.18	9.53	1.50	16.24
Floyd, G 		0	0	13.1	1.13	-	1.29	.291	.260	.551	4.73	2.70	7.43	1.75	16.35
Francoeur, J 		0	0	2.0	2.00	-	0.25	.455	.667	1.121	4.50	13.50	4.50	0.33	24.00
Franklin, N 		0	0	1.0	3.00	-	0.00	.571	1.167	1.738	0.00	0.00	27.00	-	17.00
Freeman, S 		0	0	38.1	1.46	-	1.48	.345	.338	.683	9.39	5.87	7.28	1.60	18.08
Friedrich, C 		0	4	58.1	1.71	.000	1.43	.380	.440	.820	6.94	3.86	11.57	1.80	16.71
Fujikawa, K 		0	0	1.2	1.20	-	0.00	.375	.714	1.089	5.40	0.00	10.80	-	15.60
Garces, F 		0	1	38.0	1.66	.000	0.73	.374	.500	.874	7.11	5.21	9.71	1.36	17.82
Garcia, L 		0	0	1.0	1.00	-	-	.400	.250	.650	9.00	0.00	9.00	-	23.00
Gearrin, C 		0	0	3.2	0.55	-	-	.154	.083	.237	12.27	2.45	2.45	5.00	13.36
Gee, D 		0	3	39.2	1.66	.000	1.53	.370	.509	.879	5.67	2.50	12.48	2.27	15.53
Germen, G 		0	0	38.2	1.73	-	1.05	.383	.450	.833	7.68	6.05	9.54	1.27	18.36
Gomes, J 		0	0	1.0	3.00	-	0.00	.500	1.600	2.100	9.00	0.00	27.00	-	20.00
Gonzales, M 		0	0	2.2	3.00	-	2.50	.500	.786	1.286	3.38	3.38	23.63	1.00	24.75
Goody, N 		0	0	5.2	1.59	-	1.17	.385	.409	.794	4.76	4.76	9.53	1.00	21.53
Gray, J 		0	2	40.2	1.62	.000	0.88	.372	.485	.856	8.85	3.10	11.51	2.86	16.77
Greenwood, N 		0	1	0.0	-	.000	-	1.000	2.500	3.500	-	-	-	-	-
Gregg, K 		0	2	10.2	1.69	.000	1.11	.360	.489	.849	11.81	4.22	10.97	2.80	19.97
Guaipe, M 		0	3	26.2	1.76	.000	1.45	.417	.534	.951	7.43	4.39	11.48	1.69	17.21
Guerra, J 		0	0	1.2	1.80	-	0.33	.429	.333	.762	0.00	5.40	10.80	0.00	21.60
Guerra, J 		0	0	4.0	2.00	-	2.50	.444	.588	1.033	6.75	2.25	15.75	3.00	16.50
