De La Rosa, J 		9	7	4.17	149.0	137	73	69	17	65	134	.247	1.36
DeSclafani, A 		9	13	4.05	184.2	194	93	83	17	55	151	.273	1.35
Gonzalez, M 		9	12	4.91	144.2	151	81	79	24	51	109	.270	1.40
Hellickson, J 		9	12	4.62	146.0	151	79	75	22	43	121	.264	1.33
Iwakuma, H 		9	5	3.54	129.2	117	53	51	18	21	111	.240	1.06
Jungmann, T 		9	8	3.77	119.1	106	55	50	11	47	107	.241	1.28
Kennedy, I 		9	15	4.28	168.1	166	95	80	31	52	174	.258	1.30
Kluber, C 		9	16	3.49	222.0	189	92	86	22	45	245	.231	1.05
Milone, T 		9	5	3.92	128.2	128	64	56	17	36	91	.260	1.27
Morton, C 		9	9	4.81	129.0	137	77	69	13	41	96	.271	1.38
Niese, J 		9	10	4.13	176.2	192	93	81	20	55	113	.280	1.40
Odorizzi, J 		9	9	3.35	169.1	149	65	63	18	46	150	.231	1.15
Porcello, R 		9	15	4.92	172.0	196	103	94	25	38	149	.287	1.36
Quintana, J 		9	10	3.36	206.1	218	81	77	16	44	177	.272	1.27
Rodon, C 		9	6	3.75	139.1	130	63	58	11	71	139	.251	1.44
Santiago, H 		9	9	3.59	180.2	156	80	72	29	71	162	.227	1.26
Syndergaard, N 		9	7	3.24	150.0	126	60	54	19	31	166	.225	1.05
Vogelsong, R 		9	11	4.67	135.0	140	76	70	17	58	108	.265	1.47
Bettis, C 		8	6	4.23	115.0	120	56	54	11	42	98	.268	1.41
Colome, A 		8	5	3.94	109.2	112	50	48	9	31	88	.271	1.30
Davis, W 		8	1	0.94	67.1	33	8	7	3	20	78	.144	0.79
Delgado, R 		8	4	3.25	72.0	63	28	26	7	33	73	.234	1.33
Guthrie, J 		8	8	5.95	148.1	186	101	98	29	44	84	.310	1.55
Hendricks, K 		8	7	3.95	180.0	166	82	79	17	43	167	.244	1.16
Hoover, J 		8	2	2.94	64.1	44	24	21	7	31	52	.196	1.17
Hudson, T 		8	9	4.44	123.2	134	62	61	13	37	64	.282	1.38
Locke, J 		8	11	4.49	168.1	179	95	84	15	60	129	.274	1.42
May, T 		8	9	4.00	114.2	127	53	51	11	26	110	.279	1.33
Motte, J 		8	1	3.91	48.1	48	21	21	4	11	34	.255	1.22
Peavy, J 		8	6	3.58	110.2	99	45	44	12	25	78	.239	1.12
Wilson, C 		8	8	3.89	132.0	118	59	57	13	46	110	.240	1.24
Wisler, M 		8	8	4.71	109.0	119	59	57	16	40	72	.280	1.46
Anderson, C 		7	3	3.05	91.1	77	32	31	9	24	44	.231	1.11
Blanton, J 		7	2	2.84	76.0	69	26	24	7	16	79	.240	1.12
Buchholz, C 		7	7	3.26	113.1	114	48	41	6	23	107	.260	1.21
Chavez, J 		7	15	4.18	157.0	164	78	73	18	48	136	.268	1.35
Danks, J 		7	15	4.71	177.2	195	104	93	24	56	124	.281	1.41
Duffy, D 		7	8	4.08	136.2	137	64	62	15	53	102	.264	1.39
Fiers, M 		7	10	3.69	180.1	162	83	74	24	64	180	.238	1.25
Gregerson, L 		7	3	3.10	61.0	48	24	21	5	10	59	.213	0.95
Karns, N 		7	5	3.67	147.0	132	62	60	19	56	145	.239	1.28
Kazmir, S 		7	11	3.10	183.0	162	77	63	20	59	155	.237	1.21
Kela, K 		7	5	2.39	60.1	52	18	16	4	18	68	.232	1.16
Kendrick, K 		7	13	6.32	142.1	172	102	100	33	45	80	.302	1.52
Lincecum, T 		7	4	4.13	76.1	75	37	35	7	38	60	.260	1.48
Martinez, N 		7	7	3.96	125.0	135	66	55	16	46	77	.274	1.45
Maurer, B 		7	4	3.00	51.0	39	19	17	3	15	39	.209	1.06
Perez, W 		7	6	4.78	116.2	130	66	62	13	51	73	.291	1.55
Rodney, F 		7	5	4.74	62.2	59	36	33	9	29	58	.248	1.40
Sanchez, A 		7	6	3.22	92.1	74	35	33	9	44	61	.224	1.28
Santana, E 		7	5	4.00	108.0	104	50	48	12	36	82	.253	1.30
Shoemaker, M 		7	10	4.46	135.1	135	70	67	24	35	116	.259	1.26
Siegrist, K 		7	1	2.17	74.2	53	20	18	4	34	90	.198	1.17
Smith, W 		7	2	2.70	63.1	52	23	19	5	24	91	.220	1.20
Tomlin, J 		7	2	3.02	65.2	47	22	22	13	8	57	.195	0.84
Warren, A 		7	7	3.29	131.1	114	51	48	10	39	104	.236	1.16
Weaver, J 		7	12	4.64	159.0	163	84	82	24	33	90	.264	1.23
Anderson, C 		6	6	4.30	152.2	158	75	73	18	40	111	.272	1.30
Benoit, J 		6	5	2.34	65.1	36	17	17	7	23	63	.159	0.90
Betances, D 		6	4	1.50	84.0	45	17	14	6	40	131	.157	1.01
Bolsinger, M 		6	6	3.62	109.1	104	49	44	11	45	98	.251	1.36
Cashner, A 		6	16	4.34	184.2	200	111	89	19	66	165	.279	1.44
Corbin, P 		6	5	3.60	85.0	91	34	34	9	17	78	.272	1.27
Fernandez, J 		6	1	2.92	64.2	61	21	21	4	14	79	.249	1.16
Garza, M 		6	14	5.63	148.2	176	102	93	23	57	104	.294	1.57
Giles, K 		6	3	1.80	70.0	59	23	14	2	25	87	.219	1.20
Graveman, K 		6	9	4.05	115.2	126	57	52	15	38	77	.276	1.42
Hahn, J 		6	6	3.35	96.2	88	46	36	5	25	64	.238	1.17
Harang, A 		6	15	4.86	172.1	189	100	93	26	51	108	.278	1.39
Heaney, A 		6	4	3.49	105.2	99	41	41	9	28	78	.248	1.20
Howell, J 		6	1	1.43	44.0	47	9	7	3	14	39	.272	1.39
McCullers, L 		6	7	3.22	125.2	106	49	45	10	43	129	.226	1.19
Medlen, K 		6	2	4.01	58.1	56	30	26	6	18	40	.252	1.27
Miller, S 		6	17	3.02	205.1	183	82	69	13	73	171	.238	1.25
Nola, A 		6	2	3.59	77.2	74	31	31	11	19	68	.251	1.20
Nova, I 		6	11	5.07	94.0	99	54	53	13	33	63	.269	1.40
O'Day, D 		6	2	1.52	65.1	47	13	11	5	14	82	.198	0.93
Pelfrey, M 		6	11	4.26	164.2	198	86	78	11	45	86	.304	1.48
Robertson, D 		6	5	3.41	63.1	46	27	24	7	13	86	.196	0.93
Rodriguez, W 		6	4	4.90	86.1	99	48	47	10	36	72	.285	1.56
Rondon, H 		6	4	1.67	70.0	55	19	13	4	15	69	.212	1.00
Rusin, C 		6	10	5.33	131.2	170	88	78	19	41	86	.310	1.60
Sabathia, C 		6	10	4.73	167.1	188	92	88	28	50	137	.285	1.42
Shreve, C 		6	2	3.09	58.1	49	21	20	10	33	64	.228	1.41
Tolleson, S 		6	4	2.99	72.1	66	25	24	9	17	76	.239	1.15
Blazek, M 		5	3	2.43	55.2	40	17	15	3	18	47	.200	1.04
Brach, B 		5	3	2.72	79.1	57	25	24	7	38	89	.203	1.20
Caminero, A 		5	1	3.62	74.2	63	31	30	7	29	73	.224	1.23
Cecil, B 		5	5	2.48	54.1	39	17	15	4	13	70	.197	0.96
Chafin, A 		5	1	2.76	75.0	56	23	23	3	30	58	.207	1.15
Clippard, T 		5	4	2.92	71.0	49	25	23	8	31	64	.186	1.13
Despaigne, O 		5	9	5.80	125.2	142	82	81	17	32	69	.287	1.38
Duffey, T 		5	1	3.10	58.0	56	20	20	4	20	53	.256	1.31
Dyson, S 		5	4	2.63	75.1	65	26	22	4	21	71	.233	1.14
Elias, R 		5	8	4.14	115.1	106	57	53	15	44	97	.245	1.30
Feldman, S 		5	5	3.90	108.1	115	49	47	13	27	61	.275	1.31
Finnegan, B 		5	2	3.56	48.0	37	19	19	8	21	45	.216	1.21
Fister, D 		5	7	4.19	103.0	120	56	48	14	24	63	.295	1.40
Frias, C 		5	5	4.06	77.2	88	38	35	7	26	43	.297	1.47
Godley, Z 		5	1	3.19	36.2	29	13	13	4	17	34	.227	1.25
Hale, D 		5	5	6.09	78.1	95	56	53	14	20	61	.298	1.47
Hardy, B 		5	3	3.08	61.1	61	23	21	2	22	55	.260	1.35
Harris, W 		5	5	1.90	71.0	42	18	15	8	22	68	.168	0.90
Hendriks, L 		5	0	2.92	64.2	59	23	21	3	11	71	.240	1.08
Jeffress, J 		5	0	2.65	68.0	64	22	20	5	22	67	.249	1.26
Lohse, K 		5	13	5.85	152.1	180	99	99	29	43	108	.297	1.46
Morgan, A 		5	7	4.48	84.1	88	45	42	14	17	49	.269	1.25
Morris, B 		5	4	3.14	63.0	67	26	22	3	26	47	.275	1.48
Nicolino, J 		5	4	4.01	74.0	72	33	33	8	20	23	.267	1.24
Nolasco, R 		5	2	6.75	37.1	50	31	28	3	14	35	.321	1.71
Peralta, W 		5	10	4.80	108.2	130	61	58	14	37	60	.302	1.54
Pomeranz, D 		5	6	3.66	86.0	71	44	35	8	31	82	.226	1.19
Ray, R 		5	12	3.52	127.2	121	56	50	9	49	119	.255	1.33
Ross, J 		5	5	3.64	76.2	64	33	31	7	21	69	.223	1.11
Salas, F 		5	2	4.24	63.2	61	34	30	8	12	74	.249	1.15
Severino, L 		5	3	2.89	62.1	53	21	20	9	22	56	.229	1.20
Smith, J 		5	5	3.58	65.1	64	26	26	4	19	57	.259	1.27
Smyly, D 		5	2	3.11	66.2	58	24	23	11	20	77	.230	1.17
Torres, C 		5	6	4.68	57.2	61	32	30	5	18	48	.276	1.37
Vargas, J 		5	2	3.98	43.0	46	20	19	5	12	27	.271	1.35
Verlander, J 		5	8	3.38	133.1	113	56	50	13	32	113	.229	1.09
Wilson, J 		5	0	3.10	61.0	49	21	21	3	20	66	.223	1.13
Wood, T 		5	4	3.84	100.2	86	48	43	11	39	118	.229	1.24
Wright, S 		5	4	4.09	72.2	67	38	33	12	27	52	.239	1.29
Alburquerque, A 		4	1	4.21	62.0	63	29	29	4	33	58	.269	1.55
Alvarez, J 		4	3	3.49	67.0	58	29	26	5	23	59	.228	1.21
Axford, J 		4	5	4.20	55.2	56	27	26	4	32	62	.259	1.58
Baez, P 		4	2	3.35	51.0	47	22	19	4	11	60	.247	1.14
Bastardo, A 		4	1	2.98	57.1	39	19	19	4	26	64	.188	1.13
Boxberger, B 		4	10	3.71	63.0	54	29	26	9	32	74	.231	1.37
Britton, Z 		4	1	1.92	65.2	51	16	14	3	14	79	.214	0.99
Broxton, J 		4	5	4.62	60.1	61	32	31	7	22	63	.266	1.38
Casilla, S 		4	2	2.79	58.0	51	19	18	6	23	62	.236	1.28
Cedeno, X 		4	1	2.35	46.0	40	13	12	4	14	47	.231	1.17
Chapman, A 		4	4	1.63	66.1	43	13	12	3	33	116	.181	1.15
Collmenter, J 		4	6	3.79	121.0	129	53	51	18	24	63	.277	1.26
Conley, A 		4	1	3.76	67.0	65	28	28	7	21	59	.258	1.28
Duensing, B 		4	1	4.25	48.2	46	24	23	5	21	24	.254	1.38
Fields, J 		4	1	3.55	50.2	39	20	20	2	19	67	.210	1.14
Fien, C 		4	6	3.55	63.1	61	26	25	6	8	41	.250	1.09
Foltynewicz, M 		4	6	5.71	86.2	112	63	55	17	29	77	.313	1.63
Garcia, L 		4	6	3.51	66.2	72	28	26	4	37	63	.275	1.64
Gausman, K 		4	7	4.25	112.1	109	56	53	17	29	103	.251	1.23
