Kershaw, C 		21	3	198.1	1.77	42	39	9	0.86	.875	1.52	.231	.289	.521	10.85	1.41	6.31	7.71	13.72
Cueto, J 		20	9	243.2	2.25	69	61	22	0.96	.690	1.13	.261	.313	.574	8.94	2.40	6.24	3.72	15.02
Wainwright, A 		20	9	227.0	2.38	64	60	10	1.03	.690	1.17	.271	.310	.580	7.10	1.98	7.30	3.58	14.35
Bumgarner, M 		18	10	217.1	2.98	81	72	21	1.09	.643	1.06	.281	.372	.653	9.07	1.78	8.03	5.09	15.52
Kluber, C 		18	9	235.2	2.44	72	64	14	1.09	.667	1.28	.279	.345	.624	10.27	1.95	7.91	5.27	14.85
Scherzer, M 		18	5	220.1	3.15	80	77	18	1.18	.783	0.71	.294	.368	.663	10.29	2.57	8.01	4.00	16.51
Weaver, J 		18	9	213.1	3.59	87	85	27	1.21	.667	0.56	.299	.385	.684	7.13	2.74	8.14	2.60	15.71
Greinke, Z 		17	8	202.1	2.71	69	61	19	1.15	.680	1.40	.287	.373	.660	9.21	1.91	8.45	4.81	15.86
Peralta, W 		17	11	198.2	3.53	88	78	23	1.30	.607	1.60	.321	.393	.714	6.98	2.76	8.97	2.52	16.07
Chen, W 		16	6	185.2	3.54	77	73	23	1.23	.727	0.89	.301	.426	.727	6.59	1.70	9.36	3.89	16.03
Fister, D 		16	6	164.0	2.41	52	44	18	1.08	.727	1.26	.280	.374	.654	5.38	1.32	8.40	4.08	15.05
Hughes, P 		16	10	209.2	3.52	88	82	16	1.13	.615	0.64	.284	.390	.674	7.98	0.69	9.49	11.63	14.53
Lester, J 		16	11	219.2	2.46	76	60	16	1.10	.593	0.89	.281	.354	.635	9.01	1.97	7.95	4.58	15.90
Shoemaker, M 		16	4	136.0	3.04	49	46	14	1.07	.800	0.86	.278	.381	.658	8.21	1.59	8.07	5.17	15.45
Colon, B 		15	13	202.1	4.09	97	92	22	1.23	.536	0.80	.302	.414	.716	6.72	1.33	9.70	5.03	14.88
Hernandez, F 		15	6	236.0	2.14	68	56	16	0.92	.714	1.64	.243	.303	.546	9.46	1.75	6.48	5.39	14.55
Iwakuma, H 		15	9	179.0	3.52	70	70	20	1.05	.625	1.28	.268	.374	.642	7.74	1.06	8.40	7.33	14.20
Kazmir, S 		15	9	190.1	3.55	81	75	16	1.16	.625	0.96	.291	.357	.648	7.75	2.36	8.09	3.28	15.67
Lynn, L 		15	10	203.2	2.74	72	62	13	1.26	.600	1.00	.307	.355	.662	8.00	3.18	8.18	2.51	16.94
Norris, B 		15	8	165.1	3.65	68	67	20	1.22	.652	0.89	.313	.396	.710	7.57	2.83	8.11	2.67	16.61
Porcello, R 		15	13	204.2	3.43	89	78	18	1.23	.536	1.31	.306	.406	.712	5.67	1.80	9.28	3.15	14.93
Price, D 		15	12	248.1	3.26	100	90	25	1.08	.556	0.83	.272	.375	.647	9.82	1.38	8.34	7.13	15.02
Roark, T 		15	10	198.2	2.85	64	63	16	1.09	.600	0.89	.281	.351	.632	6.25	1.77	8.06	3.54	15.10
Simon, A 		15	10	196.1	3.44	80	75	22	1.21	.600	1.36	.307	.383	.690	5.82	2.57	8.30	2.27	15.35
Verlander, J 		15	12	206.0	4.54	114	104	18	1.40	.556	0.73	.330	.426	.756	6.95	2.84	9.74	2.45	16.55
De La Rosa, J 		14	11	184.1	4.10	90	84	21	1.24	.560	1.47	.313	.394	.707	6.79	3.27	7.86	2.07	16.64
Dickey, R 		14	13	215.2	3.71	101	89	26	1.23	.519	1.03	.306	.399	.705	7.22	3.09	7.97	2.34	16.29
Gray, S 		14	10	219.0	3.08	84	75	15	1.19	.583	1.85	.301	.327	.627	7.52	3.04	7.68	2.47	15.05
Lackey, J 		14	10	198.0	3.82	94	84	24	1.28	.583	1.10	.307	.424	.731	7.45	2.14	9.36	3.49	15.55
Ryu, H 		14	7	152.0	3.38	60	57	8	1.19	.667	1.32	.294	.364	.658	8.23	1.72	9.00	4.79	16.07
Santana, E 		14	10	196.0	3.95	90	86	16	1.31	.583	1.04	.323	.401	.724	8.22	2.89	8.86	2.84	15.24
Shields, J 		14	8	227.0	3.21	95	81	23	1.18	.636	1.04	.298	.404	.702	7.14	1.74	8.88	4.09	16.00
Strasburg, S 		14	11	215.0	3.14	86	75	23	1.12	.560	1.25	.286	.385	.672	10.13	1.80	8.29	5.63	15.33
Teheran, J 		14	13	221.0	2.89	82	71	22	1.08	.519	0.65	.279	.360	.639	7.57	2.08	7.66	3.65	14.80
Ventura, Y 		14	10	183.0	3.20	70	65	14	1.30	.583	1.14	.311	.358	.669	7.82	3.39	8.26	2.30	16.31
Zimmermann, J 		14	5	199.2	2.66	67	59	13	1.07	.737	0.91	.277	.354	.631	8.20	1.31	8.34	6.28	14.64
Buehrle, M 		13	10	202.0	3.39	83	76	15	1.36	.565	0.99	.327	.416	.743	5.30	2.05	10.16	2.59	15.26
Cosart, J 		13	11	180.1	3.69	80	74	9	1.36	.542	1.56	.326	.345	.671	5.74	3.64	8.63	1.58	16.34
Gibson, K 		13	12	179.1	4.47	91	89	12	1.31	.520	1.85	.315	.365	.679	5.37	2.86	8.93	1.88	15.61
Guthrie, J 		13	11	202.2	4.13	100	93	23	1.30	.542	0.92	.323	.406	.728	5.51	2.18	9.55	2.53	15.96
Haren, D 		13	11	186.0	4.02	101	83	27	1.18	.542	1.02	.289	.429	.718	7.02	1.74	8.85	4.03	16.65
Kennedy, I 		13	13	201.0	3.63	85	81	16	1.29	.500	0.86	.314	.384	.698	9.27	3.13	8.46	2.96	16.93
Lohse, K 		13	9	198.1	3.54	87	78	22	1.15	.591	0.86	.292	.389	.682	6.40	2.04	8.30	3.13	15.14
Richards, G 		13	4	168.2	2.61	51	49	5	1.04	.765	1.37	.268	.261	.529	8.75	2.72	6.62	3.22	15.58
Ross, T 		13	14	195.2	2.81	75	61	13	1.21	.481	2.01	.307	.327	.634	8.97	3.31	7.59	2.71	15.94
Tanaka, M 		13	5	136.1	2.77	47	42	15	1.06	.722	1.24	.274	.383	.657	9.31	1.39	8.12	6.71	14.74
Tillman, C 		13	6	207.1	3.34	83	77	21	1.23	.684	0.79	.298	.373	.671	6.51	2.86	8.20	2.27	16.45
Volquez, E 		13	7	192.2	3.04	75	65	17	1.23	.650	1.44	.315	.359	.674	6.54	3.32	7.75	1.97	15.45
Wilson, C 		13	10	175.2	4.51	95	88	17	1.45	.565	1.25	.350	.374	.724	7.74	4.35	8.66	1.78	17.69
Alvarez, H 		12	7	187.0	2.65	65	55	14	1.24	.632	1.60	.312	.385	.697	5.34	1.59	9.53	3.36	13.96
Harang, A 		12	12	204.1	3.57	88	81	15	1.40	.500	0.79	.332	.391	.723	7.09	3.13	9.47	2.27	16.61
Keuchel, D 		12	9	200.0	2.93	71	65	11	1.18	.571	2.83	.302	.353	.655	6.57	2.16	8.42	3.04	15.10
Lincecum, T 		12	9	155.2	4.74	86	82	19	1.39	.571	1.44	.332	.441	.772	7.75	3.64	8.90	2.13	17.12
Sale, C 		12	4	174.0	2.17	48	42	13	0.97	.750	0.77	.262	.305	.567	10.76	2.02	6.67	5.33	15.82
Young, C 		12	9	165.0	3.65	70	67	26	1.23	.571	0.36	.301	.431	.733	5.89	3.27	7.80	1.80	16.47
Cole, G 		11	5	138.0	3.65	58	56	11	1.21	.688	1.42	.314	.379	.693	9.00	2.61	8.28	3.45	15.92
Collmenter, J 		11	9	179.1	3.46	75	69	18	1.13	.550	0.87	.290	.386	.676	5.77	1.96	8.18	2.95	15.16
Danks, J 		11	11	193.2	4.74	106	102	25	1.44	.500	0.93	.338	.447	.785	5.99	3.44	9.53	1.74	17.03
Happ, J 		11	11	158.0	4.22	79	74	22	1.34	.500	0.88	.317	.453	.770	7.58	2.91	9.11	2.61	17.15
Hutchison, D 		11	13	184.2	4.48	92	92	23	1.26	.458	0.67	.307	.416	.723	8.97	2.92	8.43	3.07	16.52
Kuroda, H 		11	9	199.0	3.71	91	82	20	1.14	.550	1.19	.286	.382	.668	6.60	1.58	8.64	4.17	15.56
Leake, M 		11	13	214.1	3.70	93	88	23	1.25	.458	1.53	.313	.417	.730	6.89	2.10	9.11	3.28	15.00
McHugh, C 		11	9	154.2	2.73	53	47	13	1.02	.550	0.97	.268	.320	.588	9.14	2.39	6.81	3.83	16.07
Odorizzi, J 		11	13	168.0	4.13	79	77	20	1.28	.458	0.43	.307	.385	.692	9.32	3.16	8.36	2.95	18.02
Stroman, M 		11	6	130.2	3.65	56	53	7	1.17	.647	1.54	.292	.341	.633	7.65	1.93	8.61	3.96	15.93
Vargas, J 		11	10	187.0	3.71	82	77	19	1.27	.524	0.83	.310	.403	.713	6.16	1.97	9.48	3.12	16.06
Wheeler, Z 		11	11	185.1	3.54	84	73	14	1.33	.500	1.61	.326	.352	.678	9.08	3.84	8.11	2.37	17.85
Wood, A 		11	11	171.2	2.78	58	53	16	1.14	.500	0.96	.294	.357	.651	8.91	2.36	7.92	3.78	15.63
Archer, C 		10	9	194.2	3.33	85	72	12	1.28	.526	1.01	.314	.336	.650	8.00	3.33	8.18	2.40	16.23
Arrieta, J 		10	5	156.2	2.53	46	44	5	0.99	.667	1.29	.259	.276	.535	9.59	2.36	6.55	4.07	15.42
Cobb, A 		10	9	166.1	2.87	56	53	11	1.14	.526	1.49	.294	.325	.619	8.06	2.54	7.68	3.17	15.70
Darvish, Y 		10	7	144.1	3.06	54	49	13	1.26	.588	0.68	.305	.374	.679	11.35	3.06	8.29	3.71	16.02
Dunn, M 		10	6	57.0	3.16	25	20	4	1.21	.625	0.67	.303	.332	.635	10.58	3.47	7.42	3.05	17.33
Elias, R 		10	12	163.2	3.85	77	70	16	1.31	.455	1.08	.328	.385	.713	7.86	3.52	8.30	2.23	16.26
Gonzalez, G 		10	10	158.2	3.57	66	63	10	1.20	.500	1.08	.299	.348	.647	9.19	3.18	7.60	2.89	16.53
Gonzalez, M 		10	9	159.0	3.23	61	57	25	1.30	.526	0.66	.319	.432	.751	6.28	2.89	8.77	2.18	16.05
Hammel, J 		10	11	176.1	3.47	70	68	23	1.12	.476	0.90	.289	.390	.680	8.06	2.25	7.86	3.59	15.86
Kendrick, K 		10	13	199.0	4.61	108	102	25	1.36	.435	1.16	.333	.436	.769	5.47	2.58	9.68	2.12	15.59
Koehler, T 		10	10	191.1	3.81	84	81	16	1.30	.500	0.88	.320	.371	.691	7.20	3.34	8.33	2.15	15.37
Lewis, C 		10	14	170.1	5.18	107	98	25	1.52	.417	0.59	.352	.488	.840	7.03	2.54	11.15	2.77	16.45
McCarthy, B 		10	15	200.0	4.05	100	90	25	1.28	.400	1.78	.310	.436	.746	7.88	1.49	9.99	5.30	15.22
Miller, S 		10	9	183.0	3.74	78	76	22	1.27	.526	0.80	.310	.388	.698	6.25	3.59	7.87	1.74	15.62
Watson, T 		10	2	77.1	1.63	16	14	5	1.02	.833	1.28	.283	.330	.613	9.43	1.75	7.45	5.40	15.50
Anderson, C 		9	7	114.1	4.01	56	51	16	1.37	.563	0.88	.330	.450	.779	8.27	3.15	9.21	2.63	16.55
Bailey, H 		9	5	145.2	3.71	60	60	16	1.23	.643	1.41	.311	.392	.703	7.66	2.78	8.28	2.76	15.64
Davis, W 		9	2	72.0	1.00	8	8	0	0.85	.818	1.04	.229	.179	.408	13.63	2.88	4.75	4.74	16.81
deGrom, J 		9	6	140.1	2.69	44	42	7	1.14	.600	1.10	.288	.326	.613	9.24	2.76	7.50	3.35	15.93
Duffy, D 		9	12	149.1	2.53	52	42	12	1.11	.429	0.59	.284	.322	.605	6.81	3.19	6.81	2.13	16.27
