"ERA" "R" "ER" "HR" "WHIP" "GO_AO" "OBP" "SLG" "OPS" "K_9" "BB_9" "H_9" "K_BB" "P_IP" "WR"
"40" 3.09 0.373548712771328 0.343260979303382 0.0858152448258455 1.15 0.99 0.284 0.39 0.674 7.17 2.13 8.21 3.36 15.57 0.181818181818182
"41" 4.38 0.543759709994821 0.486794407042983 0.108751941998964 1.29 0.96 0.312 0.446 0.758 5.77 1.72 9.87 3.35 15.17 0.181818181818182
"42" 3.71 0.439330543933054 0.413179916317992 0.130753138075314 1.25 0.86 0.308 0.416 0.724 6.29 2.91 8.36 2.16 16.21 0.181818181818182
"43" 4.03 0.459506031016657 0.448018380241241 0.103388856978748 1.19 0.97 0.3 0.4 0.7 8.88 1.76 8.93 5.06 15.56 0.0909090909090909
"44" 3.32 0.379487179487179 0.369230769230769 0.0769230769230769 1.23 1.07 0.303 0.371 0.674 7.34 2.63 8.4 2.79 16.19 0.142857142857143
"45" 3.99 0.489404641775984 0.443995963673058 0.0554994954591322 1.43 1.9 0.343 0.348 0.691 7.79 4.67 8.24 1.67 16.94 0
"46" 3.68 0.462519936204147 0.409356725146199 0.0584795321637427 1.37 1.58 0.327 0.384 0.711 6.64 3.35 8.98 1.99 16.38 0.0909090909090909
"47" 3.49 0.401051939513478 0.387902695595003 0.151216305062459 1.27 0.59 0.309 0.418 0.727 9.81 4.14 7.27 2.37 18.14 0.2
"48" 3.75 0.435315757204169 0.416922133660331 0.159411404046597 1.23 1.25 0.315 0.435 0.749 7.16 2.2 8.87 3.25 15.09 0.411764705882353
"49" 4.16 0.507537688442211 0.462311557788945 0.125628140703518 1.31 1.35 0.326 0.438 0.764 4.88 2.04 9.77 2.4 16.31 -0.0769230769230769
"50" 4.41 0.536423841059603 0.490066225165563 0.165562913907285 1.47 0.9 0.344 0.493 0.837 4.41 2.32 10.91 1.9 15.7 0.5
"51" 3.99 0.462211118051218 0.443472829481574 0.137414116177389 1.15 0.76 0.29 0.438 0.728 6.9 1.35 9.04 5.13 15.72 0.0434782608695652
"52" 4.67 0.543008169149447 0.518981259010091 0.12013455069678 1.32 0.92 0.317 0.438 0.755 8.64 2.64 9.24 3.28 16.25 -0.142857142857143
"53" 4.3 0.526038926880589 0.478695423461336 0.110468174644924 1.38 0.94 0.337 0.409 0.746 7.66 3.36 9.03 2.28 16.71 0
"54" 3.45 0.383497966298664 0.383497966298664 0.116211504938989 1.18 0.58 0.294 0.381 0.675 7.36 2.19 8.41 3.36 15.7 0.466666666666667
"55" 4.05 0.528223718280684 0.450543759709995 0.119109269808389 1.36 1.17 0.33 0.441 0.771 4.47 1.82 10.43 2.46 14.96 0
"56" 4.6 0.533333333333333 0.511111111111111 0.172222222222222 1.32 0.82 0.324 0.478 0.801 4.1 1.7 10.2 2.41 14.08 -0.0434782608695652
"57" 3.7 0.450597176981542 0.412595005428882 0.10314875135722 1.24 0.92 0.306 0.377 0.683 6.24 2.88 8.29 2.17 16.03 0.1
"58" 3.17 0.373239436619718 0.352112676056338 0.0774647887323944 1.16 2.21 0.294 0.366 0.66 5.39 2.54 7.92 2.13 14.14 0.222222222222222
"59" 3.91 0.5 0.434782608695652 0.130434782608696 1.24 0.84 0.306 0.422 0.728 8.46 2.15 9 3.93 15.78 0.0476190476190476
"60" 5.49 0.663659793814433 0.612113402061856 0.14819587628866 1.61 1.28 0.371 0.484 0.855 3.93 3.3 11.22 1.19 16.84 0.1
"61" 4.53 0.520958083832335 0.502994011976048 0.0898203592814371 1.45 1.28 0.343 0.403 0.746 4.9 3.77 9.27 1.3 15.96 0.1
"62" 4.56 0.526666666666667 0.506666666666667 0.133333333333333 1.35 1.08 0.32 0.452 0.772 4.92 2.16 9.96 2.28 15.46 0.157894736842105
"63" 4.84 0.592039800995025 0.537313432835821 0.0895522388059701 1.4 0.82 0.338 0.377 0.715 7.3 3.9 8.73 1.87 17.65 -0.214285714285714
"64" 3.2 0.386363636363636 0.356060606060606 0.0909090909090909 1.18 1.17 0.296 0.392 0.688 6.2 2.32 8.32 2.68 14.93 0.571428571428571
"65" 4.33 0.499432463110102 0.482406356413167 0.113507377979569 1.28 0.7 0.313 0.416 0.729 7.74 2.75 8.81 2.81 17.24 0.0476190476190476
"66" 1.62 0.245901639344262 0.180327868852459 0.0491803278688525 1.05 1.41 0.266 0.267 0.533 8.11 3.25 6.2 2.5 15.61 0.666666666666667
"67" 4.92 0.592307692307692 0.546153846153846 0.1 1.46 1.32 0.349 0.411 0.76 8.86 4.29 8.86 2.06 17.49 0.111111111111111
"68" 2.54 0.318696883852691 0.28328611898017 0.0779036827195467 1 0.96 0.268 0.322 0.59 6.04 2.16 6.8 2.79 14.55 0.111111111111111
"69" 3.63 0.431125131440589 0.404837013669821 0.126182965299685 1.23 1.12 0.304 0.391 0.694 5.66 2.74 8.31 2.07 16.08 -0.0909090909090909
"70" 2.07 0.256756756756757 0.22972972972973 0.0743243243243243 1.06 0.49 0.27 0.287 0.557 11.01 3.71 5.84 2.97 16.74 0.666666666666667
"71" 4.18 0.5 0.464285714285714 0.114285714285714 1.35 0.83 0.323 0.372 0.694 7.84 4.31 7.84 1.82 18.16 0.111111111111111
"72" 4.55 0.542105263157895 0.505263157894737 0.152631578947368 1.38 1.28 0.33 0.461 0.791 7.72 3.08 9.33 2.51 15.92 -0.130434782608696
"73" 4.39 0.548192771084337 0.487951807228916 0.108433734939759 1.54 1.66 0.353 0.413 0.766 7.97 4.07 9.81 1.96 17.1 0.111111111111111
"74" 2.85 0.329099307159353 0.317551963048499 0.0981524249422633 1.18 0.93 0.299 0.345 0.645 8.6 3.06 7.57 2.81 16.56 -0.0476190476190476
"75" 4.22 0.515463917525773 0.469072164948454 0.123711340206186 1.4 0.57 0.338 0.387 0.725 8.35 4.87 7.75 1.71 17.5 0.176470588235294
"76" 4.95 0.604395604395604 0.549450549450549 0.148351648351648 1.43 0.88 0.34 0.449 0.788 5.93 3.21 9.64 1.85 17.3 -0.0476190476190476
"77" 4.96 0.620767494356659 0.553047404063205 0.169300225733634 1.54 1.31 0.361 0.483 0.844 4.56 3.39 10.49 1.34 15.98 0
"78" 4.13 0.49171270718232 0.458563535911602 0.138121546961326 1.18 0.73 0.302 0.387 0.689 5.82 2.98 7.66 1.95 15.45 -0.0476190476190476
"79" 5.15 0.638888888888889 0.572222222222222 0.0888888888888889 1.6 0.72 0.36 0.412 0.772 6 5.1 9.3 1.18 17.86 -0.259259259259259
"80" 6.05 0.685920577617329 0.673886883273165 0.216606498194946 1.67 0.94 0.376 0.544 0.92 6.86 4.16 10.91 1.65 16.8 -0.217391304347826
"81" 5.76 0.697036223929748 0.642151481888035 0.159165751920966 1.49 0.89 0.347 0.48 0.826 5.57 2.86 10.59 1.95 17.26 -0.28
"82" 4.69 0.557809330628803 0.522312373225152 0.111561866125761 1.4 1.15 0.329 0.429 0.758 5.05 3.01 9.61 1.68 16.46 -0.142857142857143
"83" 4.18 0.497297297297297 0.464864864864865 0.156756756756757 1.14 0.98 0.291 0.424 0.715 5.3 2.34 7.93 2.27 14.85 -0.0526315789473684
"84" 4.81 0.580459770114943 0.53448275862069 0.166666666666667 1.41 0.94 0.342 0.461 0.803 8.17 3.52 9.21 2.32 17.56 -0.217391304347826
"85" 4.06 0.504424778761062 0.451327433628319 0.0884955752212389 1.45 0.9 0.342 0.42 0.762 5.65 3.42 9.64 1.65 17.48 0.125
"86" 4.34 0.488095238095238 0.482142857142857 0.0595238095238095 1.48 1.41 0.356 0.38 0.735 6.32 4.13 9.21 1.53 16.11 0
"87" 4.4 0.555555555555556 0.488888888888889 0.122222222222222 1.32 0.95 0.322 0.412 0.734 7.1 2.7 9.2 2.63 15.99 0.285714285714286
"88" 5.49 0.685096153846154 0.612980769230769 0.144230769230769 1.57 1.01 0.358 0.52 0.878 4.52 3.33 10.76 1.35 16.43 0.5
"89" 3.45 0.424575424575425 0.384615384615385 0.0849150849150849 1.39 1.68 0.335 0.391 0.727 7.85 3.59 8.88 2.19 16.01 -0.1
"90" 3.73 0.464227198252321 0.415073730202075 0.070999453850355 1.22 1.59 0.299 0.359 0.659 5.69 2.06 8.89 2.76 15 -0.0526315789473684
"91" 3.91 0.489010989010989 0.434065934065934 0.126373626373626 1.34 1.97 0.328 0.4 0.728 5.79 3.56 8.51 1.63 16.24 -0.25
"92" 3.71 0.431829209121786 0.412421154779233 0.101892285298399 1.28 1.72 0.323 0.401 0.724 6.06 2.75 8.77 2.21 14.83 0
"93" 3.39 0.397088021178028 0.377233620119126 0.13898080741231 1.16 1.02 0.293 0.388 0.681 7.31 2.97 7.49 2.46 15.49 0.125
"94" 5.07 0.618311533888228 0.564803804994055 0.107015457788347 1.59 0.98 0.361 0.462 0.823 6.67 2.61 11.74 2.55 16.08 -0.0526315789473684
"95" 6.65 0.75642965204236 0.741301059001513 0.128593040847201 1.73 0.91 0.386 0.475 0.861 5.63 4.21 11.4 1.34 17.47 -0.0526315789473684
"96" 3.54 0.474106491611962 0.393873085339168 0.102115244347192 1.31 0.99 0.316 0.401 0.717 8.58 2.88 8.91 2.98 16.7 0.125
"97" 5.7 0.681293302540416 0.635103926096998 0.1270207852194 1.63 1.13 0.377 0.495 0.872 4.25 3.68 10.99 1.15 16.42 -0.181818181818182
"98" 5.01 0.569620253164557 0.556962025316456 0.0886075949367089 1.45 1.05 0.344 0.402 0.746 8.94 4.27 8.77 2.09 18 -0.142857142857143
"99" 5.25 0.605555555555556 0.583333333333333 0.133333333333333 1.61 1.33 0.376 0.45 0.826 4.75 4.5 9.95 1.06 16.83 -0.111111111111111
"100" 3.76 0.437384898710866 0.418968692449355 0.0874769797421731 1.36 0.69 0.328 0.4 0.728 7.69 3.76 8.52 2.04 16.58 -0.272727272727273
"101" 3.91 0.467762326169406 0.436156763590392 0.11378002528445 1.24 0.92 0.305 0.429 0.734 6.07 2.16 8.96 2.82 15.74 0.0666666666666667
"102" 5.44 0.665557404326123 0.607321131447587 0.0582362728785358 1.62 3.07 0.374 0.385 0.759 4.33 5.22 9.4 0.83 16.83 0.0666666666666667
"103" 4.22 0.541237113402062 0.469072164948454 0.108247422680412 1.21 1.46 0.302 0.415 0.717 4.55 1.39 9.46 3.27 13.26 -0.238095238095238
"104" 4.27 0.508474576271186 0.474576271186441 0.0847457627118644 1.39 1.14 0.337 0.407 0.743 4.73 3.51 9 1.35 17.2 0.230769230769231
"105" 4.2 0.526838966202783 0.467196819085487 0.149105367793241 1.31 0.77 0.315 0.437 0.751 5.04 3.08 8.7 1.64 15.46 -0.157894736842105
"106" 5.04 0.658284023668639 0.562130177514793 0.103550295857988 1.61 1.81 0.369 0.464 0.833 3.85 3.18 11.28 1.21 15.99 0.230769230769231
"107" 4.07 0.463157894736842 0.452631578947368 0.0421052631578947 1.32 1.7 0.318 0.335 0.654 5.12 3.32 8.53 1.54 14.85 0.6
"108" 5.12 0.677764565992866 0.570749108204519 0.0594530321046373 1.52 2.77 0.362 0.377 0.739 6.4 3.74 9.92 1.71 17.35 0.0666666666666667
"109" 3.93 0.439882697947214 0.439882697947214 0.117302052785924 1.22 0.94 0.305 0.377 0.682 8.39 2.75 8.26 3.05 16 0.166666666666667
"110" 6.04 0.696594427244582 0.673374613003096 0.131578947368421 1.66 0.75 0.371 0.482 0.854 4.37 3.47 11.45 1.26 16.82 -0.176470588235294
"111" 2.25 0.266666666666667 0.25 0.1 1.03 0.76 0.275 0.344 0.62 8.25 3.15 6.15 2.62 14.95 0.555555555555556
"112" 4.54 0.528925619834711 0.504132231404959 0.0991735537190083 1.36 1.43 0.324 0.41 0.734 5.21 2.6 9.67 2 15.78 0.0769230769230769
"113" 3.41 0.439882697947214 0.381231671554252 0.0439882697947214 1.28 1.11 0.314 0.271 0.585 7.6 4.85 6.68 1.57 18.9 -0.0666666666666667
"114" 5.45 0.653153153153153 0.608108108108108 0.127627627627628 1.47 1.05 0.346 0.44 0.786 5.45 3.23 9.97 1.69 17.05 -0.0666666666666667
"115" 5.35 0.626780626780627 0.598290598290598 0.185185185185185 1.46 0.7 0.339 0.543 0.882 7.51 1.66 11.46 4.54 16.85 0.166666666666667
"116" 3.61 0.413318025258324 0.401836969001148 0.0803673938002296 1.35 1.59 0.331 0.393 0.723 7.94 2.78 9.38 2.85 16.2 0.75
"117" 2.88 0.333333333333333 0.319444444444444 0.0694444444444444 1.15 1.19 0.303 0.379 0.682 6 2 8.38 3 15.47 0.75
"118" 4.34 0.546482412060302 0.483668341708543 0.138190954773869 1.48 1.28 0.351 0.474 0.825 6.71 3.1 10.26 2.16 17.01 -0.263157894736842
"119" 5.15 0.600539811066127 0.573549257759784 0.148448043184885 1.45 1.76 0.34 0.507 0.847 4.9 2.12 10.9 2.31 15.03 0
"120" 6.35 0.737217598097503 0.707491082045184 0.154577883472057 1.66 1.3 0.373 0.518 0.891 5.76 3.31 11.63 1.74 15.85 -0.222222222222222
"121" 4.16 0.483955812730142 0.462914255654919 0.110468174644924 1.35 0.69 0.326 0.403 0.729 5.25 4.11 7.99 1.28 16.27 -0.391304347826087
"122" 5.42 0.652041438147471 0.603290676416819 0.109689213893967 1.76 0.97 0.385 0.474 0.859 7.39 4.87 11.01 1.52 18.37 -0.263157894736842
"123" 3.73 0.414285714285714 0.414285714285714 0.0857142857142857 1.21 0.86 0.303 0.368 0.67 8.87 3.47 7.46 2.56 16.51 0.166666666666667
"124" 3.49 0.4375 0.3875 0.075 1.35 1.98 0.332 0.348 0.68 5.74 3.71 8.44 1.55 16.04 0.166666666666667
"125" 3.96 0.450538687561215 0.440744368266406 0.127326150832517 1.29 0.38 0.309 0.384 0.694 8.18 4.22 7.39 1.94 17.14 0.0769230769230769
"126" 4.79 0.553191489361702 0.531914893617021 0.127659574468085 1.34 0.85 0.321 0.444 0.765 5.87 2.74 9.32 2.14 16.16 -0.25
"127" 1.54 0.172117039586919 0.172117039586919 0.0516351118760757 0.89 0.45 0.233 0.23 0.463 12.65 3.7 4.32 3.42 17.61 0.5
"128" 3.67 0.469135802469136 0.407407407407407 0.111111111111111 1.32 1 0.321 0.376 0.697 8 4.11 7.78 1.95 17.04 0.2
"129" 3.58 0.397435897435897 0.397435897435897 0.0641025641025641 1.21 1.09 0.302 0.337 0.639 8.19 3.23 7.62 2.54 17.22 0
"130" 2.17 0.347957639939486 0.242057488653555 0.075642965204236 0.95 0.87 0.249 0.301 0.55 7.6 2.44 6.11 3.11 13.64 0
"131" 3.22 0.429362880886427 0.3601108033241 0.0138504155124654 1.39 3.02 0.329 0.32 0.649 4.83 4.46 8.05 1.08 15.61 0.5
"132" 4.32 0.520547945205479 0.479452054794521 0.089041095890411 1.53 1.41 0.356 0.419 0.775 6.9 3.95 9.86 1.75 17.06 -0.142857142857143
"133" 0.59 0.154867256637168 0.0663716814159292 0 0.83 0.71 0.225 0.17 0.395 9.66 2.96 4.53 3.27 15.85 0.714285714285714
"134" 5.29 0.681667769688948 0.589013898080741 0.14559894109861 1.43 1.25 0.349 0.464 0.814 4.4 3.33 9.57 1.32 16.41 -0.142857142857143
"135" 3.55 0.434782608695652 0.396419437340153 0.127877237851662 1.47 1.03 0.346 0.46 0.805 5.83 3.43 9.84 1.7 16.88 0
"136" 6.66 0.751665080875357 0.742150333016175 0.190294957183635 1.8 0.95 0.392 0.517 0.909 5.72 5.98 10.25 0.96 18.09 -0.142857142857143
"137" 2.84 0.328947368421053 0.315789473684211 0.118421052631579 1.28 1.09 0.307 0.344 0.651 7.34 4.38 7.11 1.68 16.13 0.333333333333333
"138" 5.19 0.617608409986859 0.578186596583443 0.157687253613666 1.59 1.2 0.353 0.449 0.802 6.96 4.36 9.9 1.59 17.34 -0.2
"139" 3.95 0.475624256837099 0.439952437574316 0.107015457788347 1.36 0.93 0.32 0.377 0.697 9.92 4.48 7.79 2.21 17.82 0.333333333333333
"140" 4.78 0.564910374796306 0.532319391634981 0.190114068441065 1.38 0.73 0.329 0.509 0.838 7.47 2.44 10.01 3.06 16.67 -0.478260869565217
"141" 5.51 0.651162790697674 0.612403100775194 0.0930232558139535 1.47 1.55 0.345 0.413 0.758 5.02 3.28 9.98 1.53 16.12 -0.333333333333333
"142" 2.22 0.325476992143659 0.246913580246914 0.0673400673400673 1.13 1.65 0.288 0.291 0.579 9.27 3.93 6.25 2.36 16.75 0.714285714285714
"143" 3.91 0.526315789473684 0.434210526315789 0.0921052631578947 1.39 0.89 0.327 0.392 0.719 7.93 3.79 8.76 2.09 16.84 0.2
"144" 6.72 0.79667063020214 0.749108204518431 0.190249702734839 1.78 0.68 0.39 0.493 0.883 6.08 5.44 10.57 1.12 18.38 0
"145" 3.16 0.351872871736663 0.351872871736663 0.113507377979569 1.22 2.08 0.319 0.356 0.674 6.93 4.08 6.93 1.7 15.7 0.0909090909090909
"146" 4.02 0.447193149381541 0.447193149381541 0.0951474785918173 1.41 1.12 0.344 0.371 0.714 7.43 4.7 7.95 1.58 17.33 0
"147" 4.37 0.54005400540054 0.486048604860486 0.081008100810081 1.37 1.01 0.335 0.404 0.739 6.87 3.07 9.3 2.24 16.28 -0.0769230769230769
"148" 5.87 0.728291316526611 0.65359477124183 0.065359477124183 1.64 1.26 0.373 0.424 0.798 7.46 4.7 10.06 1.59 18.15 -0.25
"149" 5.93 0.700575815738964 0.662188099808061 0.134357005758157 1.39 0.64 0.338 0.415 0.754 7.48 3.53 8.94 2.12 16.74 -0.2
"150" 6.27 0.721868365180467 0.700636942675159 0.138004246284501 1.63 1.64 0.378 0.465 0.843 4.85 3.99 10.65 1.21 17.9 -0.2
"151" 3.88 0.433839479392625 0.433839479392625 0.0867678958785249 1.6 0.78 0.36 0.389 0.749 10.88 5.44 8.94 2 18.67 0.0909090909090909
"152" 1.4 0.156695156695157 0.156695156695157 0.056980056980057 0.67 1.41 0.19 0.233 0.423 9.81 0.76 5.22 12.83 13.85 0.0909090909090909
"153" 4.22 0.512382578992314 0.469684030742955 0.0683176771989752 1.2 1.86 0.303 0.394 0.697 4.68 1.76 9.05 2.65 13.99 0.2
"154" 2.7 0.45958795562599 0.301109350237718 0.0950871632329636 1.34 1.65 0.323 0.346 0.669 9.09 4.12 7.96 2.21 17.01 0.2
"155" 3.55 0.443740095087163 0.396196513470681 0.063391442155309 1.29 2.83 0.322 0.336 0.658 7.39 4.41 7.25 1.68 16.29 0.333333333333333
"156" 5.15 0.59190031152648 0.576323987538941 0.0778816199376947 1.41 1.6 0.347 0.451 0.798 4.45 2.64 10.02 1.68 15.15 0.333333333333333
"157" 3.38 0.388888888888889 0.375 0.138888888888889 1.18 0.68 0.287 0.399 0.686 10.38 2.88 7.75 3.61 17.39 0.333333333333333
"158" 2.88 0.356718192627824 0.321046373365042 0.0356718192627824 1.33 1.66 0.326 0.322 0.648 5.55 3.84 8.11 1.44 15.7 0.2
"159" 4.66 0.533515731874145 0.51983584131327 0.0820793433652531 1.54 1.32 0.352 0.385 0.737 7.73 5.03 8.84 1.54 16.87 0.333333333333333
"160" 2.02 0.224489795918367 0.224489795918367 0 1.45 1.04 0.347 0.324 0.672 5.88 3.86 9.18 1.52 16.65 0.666666666666667
"161" 4.14 0.50561797752809 0.463483146067416 0.112359550561798 1.42 0.85 0.347 0.424 0.771 5.15 3.14 9.67 1.64 15.99 0.111111111111111
"162" 3.22 0.412371134020619 0.360824742268041 0.103092783505155 1.38 1.59 0.325 0.387 0.712 8.9 3.84 8.59 2.32 16.81 0.666666666666667
"163" 3.33 0.399429386590585 0.370898716119829 0.0855920114122682 1.41 0.94 0.336 0.346 0.682 9.98 4.86 7.81 2.05 18.16 0.111111111111111
"164" 3.59 0.466237942122186 0.401929260450161 0.0964630225080386 1.37 0.88 0.325 0.419 0.744 7.18 3.45 8.9 2.08 16.5 0.111111111111111
"165" 5.21 0.579839429081178 0.579839429081178 0.133809099018733 1.56 1.19 0.357 0.449 0.805 4.65 4.09 9.93 1.14 17.08 -0.230769230769231
"166" 4.82 0.6 0.535135135135135 0.102702702702703 1.5 1.56 0.348 0.464 0.812 4.23 2.29 11.19 1.85 15.9 -0.473684210526316
"167" 2.87 0.378440366972477 0.321100917431193 0.0573394495412844 1.32 1.27 0.333 0.342 0.675 6.47 3.59 8.32 1.8 16.19 0.111111111111111
"168" 4.21 0.476190476190476 0.476190476190476 0.0793650793650794 1.17 1 0.302 0.432 0.733 11.22 2.45 8.06 4.57 17.84 1
"169" 5.15 0.634231103388358 0.573414422241529 0.112945264986968 1.53 0.7 0.351 0.439 0.789 8.04 4.53 9.21 1.78 18.24 -0.166666666666667
"170" 5.16 0.650684931506849 0.582191780821918 0.102739726027397 1.62 0.71 0.345 0.438 0.783 7.89 5.16 9.4 1.53 18.07 0.111111111111111
"171" 4.26 0.475746268656716 0.475746268656716 0.102611940298507 1.5 1.65 0.347 0.409 0.756 8.36 4.35 9.11 1.92 17.4 0
"172" 2.14 0.2625 0.2375 0.05 1.01 1.15 0.263 0.303 0.566 10.8 2.36 6.75 4.57 15.83 0.25
"173" 4.23 0.55793991416309 0.472103004291845 0.107296137339056 1.43 1.58 0.351 0.411 0.763 4.13 2.98 9.9 1.39 16.01 -0.166666666666667
"174" 3.48 0.420560747663551 0.389408099688474 0.0934579439252336 1.39 0.92 0.327 0.368 0.695 6.82 4.04 8.49 1.69 16.99 1
"175" 4.02 0.446153846153846 0.446153846153846 0.0769230769230769 1.2 0.6 0.295 0.313 0.608 9.83 3.6 7.2 2.73 17.15 0.25
