"ERA" "R" "ER" "HR" "WHIP" "GO_AO" "OBP" "SLG" "OPS" "K_9" "BB_9" "H_9" "K_BB" "P_IP" "WR"
"1" 2.54 0.304796055580457 0.282384580905424 0.0537875392200807 1.11 1.1 0.285 0.348 0.633 6.85 1.37 8.62 5 14.79 0.76
"2" 3.3 0.419982316534041 0.366931918656057 0.0574712643678161 1.2 3.08 0.302 0.334 0.636 7.27 2.58 8.18 2.82 15.04 0.517241379310345
"3" 2.78 0.357723577235772 0.308943089430894 0.0731707317073171 1.05 1.76 0.276 0.345 0.621 7.54 1.43 8.05 5.28 14.58 0.290322580645161
"4" 3.37 0.424787606196902 0.374812593703148 0.0849575212393803 1.22 1.39 0.31 0.411 0.721 6.74 1.39 9.61 4.84 15.67 0.379310344827586
"5" 4.07 0.492989597467209 0.452284034373587 0.0859339665309815 1.34 1.46 0.322 0.388 0.71 9.39 3.5 8.58 2.69 16.7 0.285714285714286
"6" 2.62 0.317180616740088 0.290748898678414 0.0484581497797357 1.17 1.15 0.297 0.316 0.612 10.51 3.33 7.22 3.15 16.37 0.565217391304348
"7" 2.9 0.34688995215311 0.322966507177034 0.0717703349282297 1.32 0.8 0.321 0.324 0.645 8.27 5.05 6.87 1.64 17.45 0.714285714285714
"8" 2.96 0.36372453928225 0.329776915615907 0.0678952473326867 1.21 1.26 0.302 0.341 0.642 8.14 3.31 7.58 2.46 16.26 0.478260869565217
"9" 3.84 0.51916545366327 0.426977195536147 0.145560407569141 1.26 0.98 0.309 0.429 0.738 6.32 3.05 8.29 2.07 15.76 0.36
"10" 4.09 0.470127326150833 0.455435847208619 0.156709108716944 1.23 0.69 0.301 0.432 0.734 8.09 2.81 8.22 2.88 15.88 0.307692307692308
"11" 3.54 0.42747358309318 0.393852065321806 0.110470701248799 1.18 1.55 0.3 0.392 0.692 7.12 2.03 8.58 3.51 14.93 0.259259259259259
"12" 2.7 0.33596837944664 0.300395256916996 0.075098814229249 1.11 1.32 0.285 0.34 0.625 8.93 2.1 7.93 4.25 15.18 0.259259259259259
"13" 3.41 0.414141414141414 0.378787878787879 0.106060606060606 1.21 1.23 0.307 0.384 0.691 4.68 2.41 8.5 1.94 15.22 0.416666666666667
"14" 3.21 0.418367346938776 0.357142857142857 0.0714285714285714 1.33 1.19 0.329 0.351 0.681 9.46 4.27 7.67 2.22 17.33 0.478260869565217
"15" 3.14 0.37962037962038 0.34965034965035 0.0699300699300699 1.34 1.53 0.324 0.363 0.687 9.01 3.59 8.43 2.51 16.64 0.230769230769231
"16" 3.96 0.483183325438181 0.4405495026054 0.0615821885362388 1.34 2.28 0.328 0.41 0.739 4.09 2.04 10.05 2 14.55 0.28
"17" 3.33 0.398148148148148 0.37037037037037 0.087962962962963 1.13 1.07 0.286 0.381 0.667 8.58 1.67 8.5 5.15 15.6 0.333333333333333
"18" 3.21 0.37125178486435 0.356972870061875 0.0666349357448834 1.27 1.38 0.32 0.368 0.688 6.5 2.82 8.64 2.3 15.87 0.454545454545455
"19" 3.71 0.433452320244773 0.41305456399796 0.101988781234064 1.33 1.11 0.326 0.404 0.731 5.64 2.84 9.12 1.98 16.16 0.391304347826087
"20" 3.49 0.406392694063927 0.388127853881279 0.105022831050228 1.12 0.79 0.283 0.368 0.651 8.79 1.93 8.14 4.55 15.87 0.391304347826087
"21" 2.53 0.316104228961982 0.28193079880393 0.0982486117043998 1.15 0.94 0.286 0.362 0.648 7.91 2.42 7.91 3.27 15.41 0.391304347826087
"22" 4.77 0.58 0.53 0.145 1.44 1.1 0.341 0.469 0.811 7.34 3.06 9.86 2.4 17.22 0.153846153846154
"23" 3.79 0.485792850595784 0.421631530705775 0.100824931255729 1.34 1.63 0.324 0.423 0.747 5.76 2.14 9.88 2.69 15.53 0.111111111111111
"24" 3.78 0.44 0.42 0.09 1.3 1.21 0.316 0.418 0.734 5.36 2.21 9.5 2.43 15.93 0.428571428571429
"25" 3.52 0.414898632720415 0.391324846770391 0.132013201320132 1.1 0.8 0.278 0.41 0.688 7.88 1.78 8.14 4.43 15.31 0.304347826086957
"26" 4.9 0.591233435270133 0.545361875637105 0.117227319062181 1.51 1.55 0.355 0.464 0.819 4.12 2.7 10.85 1.53 16.22 0.272727272727273
"27" 3.09 0.391897842360194 0.343461030383091 0.123293703214443 1.08 0.95 0.272 0.384 0.657 7.76 2.1 7.64 3.7 15.13 0.166666666666667
"28" 4.42 0.496996176952485 0.491534680502458 0.125614418350628 1.51 0.84 0.352 0.444 0.796 5.3 3.78 9.77 1.4 16.75 0.12
"29" 3.24 0.398104265402844 0.360189573459716 0.0663507109004739 1.13 2.41 0.285 0.352 0.637 6.27 1.92 8.27 3.27 14.9 0.12
"30" 3.98 0.466444550214184 0.442646358876725 0.0904331270823417 1.32 0.81 0.314 0.392 0.706 7.83 3.12 8.73 2.51 16.95 0.12
"31" 4.74 0.584795321637427 0.526315789473684 0.152046783625731 1.46 1.05 0.351 0.447 0.798 6.68 3.42 9.74 1.95 16.98 0.272727272727273
"32" 4.54 0.549019607843137 0.504901960784314 0.0931372549019608 1.41 1.62 0.338 0.422 0.76 6.97 2.43 10.28 2.87 16.11 0
"33" 3.56 0.437209302325581 0.395348837209302 0.111627906976744 1.15 1.27 0.299 0.409 0.708 6.7 1.67 8.71 4 14.68 0.272727272727273
"34" 3.91 0.451647183846971 0.435706695005314 0.0956429330499469 1.29 1.27 0.316 0.37 0.686 6.2 3.43 8.2 1.81 16.03 0.4
"35" 3.73 0.465768799102132 0.415263748597082 0.15712682379349 1.19 1.1 0.294 0.41 0.704 6.35 3.07 7.66 2.07 15.61 0.3
"36" 3.47 0.430479960415636 0.385947550717467 0.103908955962395 1.28 1.04 0.309 0.406 0.715 8.14 2.49 8.99 3.27 16.05 0.130434782608696
"37" 6.05 0.716666666666667 0.672222222222222 0.138888888888889 1.67 1.18 0.375 0.52 0.895 3.35 2.15 12.85 1.56 15.57 0.0833333333333333
"38" 3.58 0.448863636363636 0.397727272727273 0.113636363636364 1.23 1.26 0.307 0.414 0.721 5.06 1.99 9.1 2.54 15.69 0.181818181818182
"39" 3.72 0.42957042957043 0.414585414585415 0.0599400599400599 1.36 1.55 0.34 0.393 0.734 4.93 2.87 9.37 1.72 16.56 0.0833333333333333
