Halladay, R 		21	10	250.2	2.44	74	68	24	1.04	.677	1.61	.271	.373	.645	7.86	1.08	8.29	7.30	14.23
Sabathia, C 		21	7	237.2	3.18	92	84	20	1.19	.750	1.37	.301	.355	.656	7.46	2.80	7.91	2.66	15.09
Wainwright, A 		20	11	230.1	2.42	68	62	15	1.05	.645	1.74	.274	.330	.604	8.32	2.19	7.27	3.80	14.57
Jimenez, U 		19	8	221.2	2.88	73	71	10	1.15	.704	1.43	.299	.311	.610	8.69	3.74	6.66	2.33	16.24
Lester, J 		19	9	208.0	3.25	81	75	14	1.20	.679	1.82	.303	.325	.628	9.74	3.59	7.23	2.71	16.14
Price, D 		19	6	208.2	2.72	71	63	15	1.19	.760	1.08	.296	.340	.637	8.11	3.41	7.33	2.38	16.08
Cahill, T 		18	8	196.2	2.97	73	65	19	1.11	.692	2.02	.287	.332	.619	5.40	2.88	7.09	1.87	15.45
Hughes, P 		18	8	176.1	4.19	83	82	25	1.25	.692	0.69	.302	.400	.702	7.45	2.96	8.27	2.52	17.05
Verlander, J 		18	9	224.1	3.37	89	84	14	1.16	.667	0.91	.291	.339	.630	8.79	2.85	7.62	3.08	16.69
Arroyo, B 		17	10	215.2	3.88	95	93	29	1.15	.630	0.99	.289	.389	.679	5.05	2.46	7.85	2.05	15.10
Buchholz, C 		17	7	173.2	2.33	55	45	9	1.20	.708	1.54	.303	.312	.615	6.22	3.47	7.36	1.79	16.18
Hudson, T 		17	9	228.2	2.83	74	72	20	1.15	.654	2.89	.299	.343	.641	5.47	2.91	7.44	1.88	14.60
Pavano, C 		17	11	221.0	3.75	95	92	24	1.19	.607	1.51	.300	.417	.717	4.76	1.51	9.24	3.16	14.20
Santana, E 		17	10	222.2	3.92	104	97	27	1.32	.630	0.75	.324	.420	.744	6.83	2.95	8.93	2.32	15.99
Carpenter, C 		16	9	235.0	3.22	99	84	21	1.18	.640	1.50	.302	.377	.680	6.86	2.41	8.20	2.84	15.10
Lincecum, T 		16	10	212.1	3.43	84	81	18	1.27	.615	1.33	.310	.364	.674	9.79	3.22	8.22	3.04	16.19
Lowe, D 		16	12	193.2	4.00	88	86	18	1.37	.571	2.45	.330	.398	.728	6.32	2.83	9.48	2.23	16.35
Cecil, B 		15	7	172.2	4.22	87	81	18	1.33	.682	1.21	.317	.416	.733	6.10	2.81	9.12	2.17	15.70
Danks, J 		15	11	213.0	3.72	93	88	18	1.22	.577	1.12	.301	.355	.657	6.85	2.96	7.99	2.31	15.91
Dempster, R 		15	12	215.1	3.85	110	92	25	1.32	.556	1.36	.323	.388	.712	8.69	3.59	8.28	2.42	16.70
Garza, M 		15	10	204.2	3.91	94	89	28	1.25	.600	0.73	.308	.420	.728	6.60	2.77	8.49	2.38	16.03
Gonzalez, G 		15	9	200.2	3.23	75	72	15	1.31	.625	1.32	.316	.329	.644	7.67	4.13	7.67	1.86	16.79
Pelfrey, M 		15	9	204.0	3.66	88	83	12	1.38	.625	1.42	.337	.398	.735	4.99	3.00	9.40	1.66	16.70
Wilson, C 		15	8	204.0	3.35	83	76	10	1.25	.652	1.30	.311	.311	.622	7.50	4.10	7.10	1.83	16.86
Gallardo, Y 		14	7	185.0	3.84	89	79	12	1.37	.667	1.09	.324	.370	.693	9.73	3.65	8.66	2.67	17.31
Garland, J 		14	12	200.0	3.47	86	77	20	1.32	.538	1.77	.323	.371	.694	6.12	3.92	7.92	1.56	16.27
Lackey, J 		14	11	215.0	4.40	114	105	18	1.42	.560	1.25	.339	.426	.765	6.53	3.01	9.75	2.17	16.73
Latos, M 		14	10	184.2	2.92	63	60	16	1.08	.583	1.00	.272	.330	.601	9.21	2.44	7.31	3.78	16.06
Liriano, F 		14	10	191.2	3.62	77	77	9	1.26	.583	1.80	.315	.355	.670	9.44	2.72	8.64	3.47	15.76
Myers, B 		14	8	223.2	3.14	88	78	20	1.24	.636	1.38	.303	.379	.683	7.24	2.66	8.53	2.73	15.46
Nolasco, R 		14	9	157.2	4.51	82	79	24	1.28	.609	0.89	.309	.456	.766	8.39	1.88	9.65	4.45	15.70
Richard, C 		14	9	201.2	3.75	89	84	16	1.41	.609	1.20	.337	.381	.718	6.83	3.48	9.19	1.96	15.93
Romero, R 		14	9	210.0	3.73	98	87	15	1.29	.609	2.09	.320	.354	.673	7.46	3.51	8.10	2.12	15.43
Buehrle, M 		13	13	210.1	4.28	105	100	17	1.40	.500	1.16	.332	.418	.751	4.24	2.10	10.53	2.02	15.72
Cain, M 		13	11	223.1	3.14	84	78	22	1.08	.542	0.73	.276	.369	.646	7.13	2.46	7.29	2.90	15.68
Garcia, J 		13	8	163.1	2.70	64	49	9	1.32	.619	1.99	.315	.323	.638	7.27	3.53	8.32	2.06	15.97
Hernandez, F 		13	12	249.2	2.27	80	63	17	1.06	.520	1.72	.273	.312	.585	8.36	2.52	6.99	3.31	14.94
