Lee, C 		22	3	223.1	2.54	68	63	12	1.11	.880	1.10	.285	.348	.633	6.85	1.37	8.62	5.00	14.79
Webb, B 		22	7	226.2	3.30	95	83	13	1.20	.759	3.08	.302	.334	.636	7.27	2.58	8.18	2.82	15.04
Halladay, R 		20	11	246.0	2.78	88	76	18	1.05	.645	1.76	.276	.345	.621	7.54	1.43	8.05	5.28	14.58
Mussina, M 		20	9	200.1	3.37	85	75	17	1.22	.690	1.39	.310	.411	.721	6.74	1.39	9.61	4.84	15.67
Burnett, A 		18	10	221.1	4.07	109	100	19	1.34	.643	1.46	.322	.388	.710	9.39	3.50	8.58	2.69	16.70
Lincecum, T 		18	5	227.0	2.62	72	66	11	1.17	.783	1.15	.297	.316	.612	10.51	3.33	7.22	3.15	16.37
Matsuzaka, D 		18	3	167.2	2.90	58	54	12	1.32	.857	0.80	.321	.324	.645	8.27	5.05	6.87	1.64	17.45
Dempster, R 		17	6	206.2	2.96	75	68	14	1.21	.739	1.26	.302	.341	.642	8.14	3.31	7.58	2.46	16.26
Floyd, G 		17	8	206.1	3.84	107	88	30	1.26	.680	0.98	.309	.429	.738	6.32	3.05	8.29	2.07	15.76
Lilly, T 		17	9	204.2	4.09	96	93	32	1.23	.654	0.69	.301	.432	.734	8.09	2.81	8.22	2.88	15.88
Oswalt, R 		17	10	208.2	3.54	89	82	23	1.18	.630	1.55	.300	.392	.692	7.12	2.03	8.58	3.51	14.93
Sabathia, C 		17	10	253.0	2.70	85	76	19	1.11	.630	1.32	.285	.340	.625	8.93	2.10	7.93	4.25	15.18
Saunders, J 		17	7	198.0	3.41	82	75	21	1.21	.708	1.23	.307	.384	.691	4.68	2.41	8.50	1.94	15.22
Volquez, E 		17	6	196.0	3.21	82	70	14	1.33	.739	1.19	.329	.351	.681	9.46	4.27	7.67	2.22	17.33
Billingsley, C 		16	10	200.2	3.14	76	70	14	1.34	.615	1.53	.324	.363	.687	9.01	3.59	8.43	2.51	16.64
Cook, A 		16	9	211.1	3.96	102	93	13	1.34	.640	2.28	.328	.410	.739	4.09	2.04	10.05	2.00	14.55
Haren, D 		16	8	216.0	3.33	86	80	19	1.13	.667	1.07	.286	.381	.667	8.58	1.67	8.50	5.15	15.60
Lester, J 		16	6	210.1	3.21	78	75	14	1.27	.727	1.38	.320	.368	.688	6.50	2.82	8.64	2.30	15.87
Moyer, J 		16	7	196.1	3.71	85	81	20	1.33	.696	1.11	.326	.404	.731	5.64	2.84	9.12	1.98	16.16
Santana, E 		16	7	219.0	3.49	89	85	23	1.12	.696	0.79	.283	.368	.651	8.79	1.93	8.14	4.55	15.87
Santana, J 		16	7	234.1	2.53	74	66	23	1.15	.696	0.94	.286	.362	.648	7.91	2.42	7.91	3.27	15.41
Arroyo, B 		15	11	200.0	4.77	116	106	29	1.44	.577	1.10	.341	.469	.811	7.34	3.06	9.86	2.40	17.22
Buehrle, M 		15	12	218.2	3.79	106	92	22	1.34	.556	1.63	.324	.423	.747	5.76	2.14	9.88	2.69	15.53
Lohse, K 		15	6	200.0	3.78	88	84	18	1.30	.714	1.21	.316	.418	.734	5.36	2.21	9.50	2.43	15.93
Nolasco, R 		15	8	212.1	3.52	88	83	28	1.10	.652	0.80	.278	.410	.688	7.88	1.78	8.14	4.43	15.31
Garland, J 		14	8	196.2	4.90	116	107	23	1.51	.636	1.55	.355	.464	.819	4.12	2.70	10.85	1.53	16.22
Hamels, C 		14	10	227.1	3.09	89	78	28	1.08	.583	0.95	.272	.384	.657	7.76	2.10	7.64	3.70	15.13
Jackson, E 		14	11	183.1	4.42	91	90	23	1.51	.560	0.84	.352	.444	.796	5.30	3.78	9.77	1.40	16.75
Lowe, D 		14	11	211.0	3.24	84	76	14	1.13	.560	2.41	.285	.352	.637	6.27	1.92	8.27	3.27	14.90
Meche, G 		14	11	210.1	3.98	98	93	19	1.32	.560	0.81	.314	.392	.706	7.83	3.12	8.73	2.51	16.95
Padilla, V 		14	8	171.0	4.74	100	90	26	1.46	.636	1.05	.351	.447	.798	6.68	3.42	9.74	1.95	16.98
Pettitte, A 		14	14	204.0	4.54	112	103	19	1.41	.500	1.62	.338	.422	.760	6.97	2.43	10.28	2.87	16.11
Shields, J 		14	8	215.0	3.56	94	85	24	1.15	.636	1.27	.299	.409	.708	6.70	1.67	8.71	4.00	14.68
Zambrano, C 		14	6	188.2	3.91	85	82	18	1.29	.700	1.27	.316	.370	.686	6.20	3.43	8.20	1.81	16.03
Galarraga, A 		13	7	178.2	3.73	83	74	28	1.19	.650	1.10	.294	.410	.704	6.35	3.07	7.66	2.07	15.61
Greinke, Z 		13	10	202.1	3.47	87	78	21	1.28	.565	1.04	.309	.406	.715	8.14	2.49	8.99	3.27	16.05
Hernandez, L 		13	11	180.0	6.05	129	121	25	1.67	.542	1.18	.375	.520	.895	3.35	2.15	12.85	1.56	15.57
Litsch, J 		13	9	176.0	3.58	79	70	20	1.23	.591	1.26	.307	.414	.721	5.06	1.99	9.10	2.54	15.69
Pelfrey, M 		13	11	200.2	3.72	86	83	12	1.36	.542	1.55	.340	.393	.734	4.93	2.87	9.37	1.72	16.56
Sheets, B 		13	9	198.1	3.09	74	68	17	1.15	.591	0.99	.284	.390	.674	7.17	2.13	8.21	3.36	15.57
Sonnanstine, A 		13	9	193.1	4.38	105	94	21	1.29	.591	0.96	.312	.446	.758	5.77	1.72	9.87	3.35	15.17
Wellemeyer, T 		13	9	191.2	3.71	84	79	25	1.25	.591	0.86	.308	.416	.724	6.29	2.91	8.36	2.16	16.21
Beckett, J 		12	10	174.1	4.03	80	78	18	1.19	.545	0.97	.300	.400	.700	8.88	1.76	8.93	5.06	15.56
Danks, J 		12	9	195.0	3.32	74	72	15	1.23	.571	1.07	.303	.371	.674	7.34	2.63	8.40	2.79	16.19
Jimenez, U 		12	12	198.2	3.99	97	88	11	1.43	.500	1.90	.343	.348	.691	7.79	4.67	8.24	1.67	16.94
Jurrjens, J 		12	10	188.1	3.68	87	77	11	1.37	.545	1.58	.327	.384	.711	6.64	3.35	8.98	1.99	16.38
Kazmir, S 		12	8	152.1	3.49	61	59	23	1.27	.600	0.59	.309	.418	.727	9.81	4.14	7.27	2.37	18.14
