Scherzer, M 		21	3	214.1	2.90	73	69	18	0.97	.875	0.64	.254	.329	.583	10.08	2.35	6.38	4.29	15.81
Wainwright, A 		19	9	241.2	2.94	83	79	15	1.07	.679	1.40	.280	.356	.636	8.16	1.30	8.30	6.26	14.62
Zimmermann, J 		19	9	213.1	3.25	81	77	19	1.09	.679	1.33	.279	.375	.654	6.79	1.69	8.10	4.03	14.45
Colon, B 		18	6	190.1	2.65	60	56	14	1.17	.750	0.81	.290	.369	.659	5.53	1.37	9.13	4.03	14.59
Moore, M 		17	4	150.1	3.29	58	55	14	1.30	.810	0.83	.312	.343	.655	8.56	4.55	7.12	1.88	17.43
Wilson, C 		17	7	212.1	3.39	93	80	15	1.34	.708	0.99	.322	.361	.684	7.97	3.60	8.48	2.21	17.19
De La Rosa, J 		16	6	167.2	3.49	70	65	11	1.38	.727	1.47	.337	.384	.721	6.01	3.33	9.13	1.81	16.54
Kershaw, C 		16	9	236.0	1.83	55	48	11	0.92	.640	1.19	.244	.277	.521	8.85	1.98	6.25	4.46	14.53
Liriano, F 		16	8	161.0	3.02	54	54	9	1.22	.667	1.47	.297	.314	.611	9.11	3.52	7.49	2.59	15.50
Tillman, C 		16	7	206.1	3.71	87	85	33	1.22	.696	0.83	.303	.427	.730	7.81	2.97	8.03	2.63	16.85
Greinke, Z 		15	4	177.2	2.63	54	52	13	1.11	.789	1.32	.291	.355	.647	7.50	2.33	7.70	3.22	15.84
Guthrie, J 		15	12	211.2	4.04	99	95	30	1.39	.556	0.99	.336	.448	.784	4.72	2.51	10.03	1.88	15.93
Lester, J 		15	8	213.1	3.75	94	89	19	1.29	.652	0.99	.314	.389	.703	7.47	2.83	8.82	2.64	16.68
Lynn, L 		15	10	201.2	3.97	92	89	14	1.31	.600	0.94	.327	.375	.701	8.84	3.39	8.43	2.61	16.62
Medlen, K 		15	12	197.0	3.11	77	68	18	1.22	.556	1.21	.307	.398	.706	7.17	2.15	8.86	3.34	15.48
Miller, S 		15	9	173.1	3.06	65	59	20	1.21	.625	0.78	.299	.371	.670	8.78	2.96	7.89	2.96	17.12
Arroyo, B 		14	12	202.0	3.79	88	85	32	1.15	.538	1.11	.293	.442	.735	5.52	1.51	8.87	3.65	14.22
Chacin, J 		14	10	197.1	3.47	82	76	11	1.26	.583	1.25	.310	.375	.685	5.75	2.78	8.57	2.07	15.01
