Verlander, J 		24	5	251.0	2.40	73	67	24	0.92	.828	0.80	.242	.313	.555	8.96	2.04	6.24	4.39	15.70
Kennedy, I 		21	4	222.0	2.88	73	71	19	1.09	.840	0.84	.281	.361	.641	8.03	2.23	7.54	3.60	15.42
Kershaw, C 		21	5	233.1	2.28	66	59	15	0.98	.808	0.95	.256	.298	.554	9.57	2.08	6.71	4.59	14.87
Halladay, R 		19	6	233.2	2.35	65	61	10	1.04	.760	1.39	.269	.313	.582	8.47	1.35	8.01	6.29	14.84
Sabathia, C 		19	8	237.1	3.00	87	79	17	1.23	.704	1.14	.305	.361	.666	8.72	2.31	8.72	3.77	15.19
Weaver, J 		18	8	235.2	2.41	65	63	20	1.01	.692	0.56	.262	.336	.598	7.56	2.14	6.95	3.54	15.90
Gallardo, Y 		17	10	207.1	3.52	92	81	27	1.22	.630	1.21	.296	.390	.686	8.99	2.56	8.38	3.51	16.70
Lee, C 		17	8	232.2	2.40	66	62	18	1.03	.680	1.13	.268	.339	.607	9.21	1.62	7.62	5.67	14.63
Gonzalez, G 		16	12	202.0	3.12	81	70	17	1.32	.571	1.14	.318	.336	.654	8.78	4.05	7.80	2.16	16.87
Greinke, Z 		16	6	171.2	3.83	82	73	19	1.20	.727	1.31	.297	.412	.708	10.54	2.36	8.44	4.47	16.55
Haren, D 		16	10	238.1	3.17	91	84	20	1.02	.615	1.02	.265	.365	.630	7.25	1.25	7.97	5.82	15.83
Holland, D 		16	5	198.0	3.95	97	87	22	1.35	.762	1.10	.325	.398	.724	7.36	3.05	9.14	2.42	16.19
Hudson, D 		16	12	222.0	3.49	98	86	17	1.20	.571	0.89	.301	.394	.694	6.85	2.03	8.80	3.38	15.48
Hudson, T 		16	10	215.0	3.22	86	77	14	1.14	.615	1.63	.296	.331	.627	6.61	2.34	7.91	2.82	14.90
Nova, I 		16	4	165.1	3.70	74	68	13	1.33	.800	1.50	.322	.384	.706	5.33	3.10	8.87	1.72	15.50
Shields, J 		16	12	249.1	2.82	83	78	26	1.04	.571	1.06	.273	.350	.623	8.12	2.35	7.04	3.46	14.34
Wilson, C 		16	7	223.1	2.94	89	73	16	1.19	.696	1.38	.302	.350	.651	8.30	2.98	7.70	2.78	16.08
Lester, J 		15	9	191.2	3.47	77	74	20	1.26	.625	1.35	.316	.374	.690	8.55	3.52	7.79	2.43	16.65
Romero, R 		15	11	225.0	2.92	85	73	26	1.14	.577	1.79	.296	.365	.662	7.12	3.20	7.04	2.23	15.00
Scherzer, M 		15	9	195.0	4.43	101	96	29	1.35	.625	0.83	.325	.455	.781	8.03	2.58	9.55	3.11	17.15
Hamels, C 		14	9	216.0	2.79	68	67	19	0.99	.609	1.50	.259	.337	.596	8.08	1.83	7.04	4.41	14.50
Harang, A 		14	7	170.2	3.64	73	69	20	1.37	.667	0.82	.331	.427	.758	6.54	3.06	9.23	2.14	16.14
Harrison, M 		14	9	185.2	3.39	79	70	13	1.28	.609	1.23	.312	.374	.685	6.11	2.76	8.73	2.21	16.24
Hernandez, F 		14	14	233.2	3.47	99	90	19	1.22	.500	1.30	.304	.356	.660	8.55	2.58	8.40	3.31	15.44
Lewis, C 		14	10	200.1	4.40	103	98	35	1.21	.583	0.62	.299	.439	.738	7.59	2.52	8.40	3.02	16.01
Lohse, K 		14	8	188.1	3.39	80	71	16	1.17	.636	0.95	.291	.390	.680	5.30	2.01	8.51	2.64	14.89
Porcello, R 		14	9	182.0	4.75	103	96	18	1.41	.609	1.43	.339	.435	.774	5.14	2.27	10.38	2.26	15.71
Beckett, J 		13	7	193.0	2.89	65	62	21	1.03	.650	0.82	.273	.335	.608	8.16	2.42	6.81	3.37	15.51
Buehrle, M 		13	9	205.1	3.59	93	82	21	1.30	.591	1.05	.315	.414	.728	4.78	1.97	9.69	2.42	15.32
Bumgarner, M 		13	13	204.2	3.21	82	73	12	1.21	.500	1.08	.304	.366	.670	8.40	2.02	8.88	4.15	15.64
