Joke_Index	Word_Count	Curse_Count	Exclamation_Count	Worthwhile
317	23	0	0	1
318	16	0	0	0
319	20	0	1	1
320	14	0	0	0
321	19	0	0	0
322	20	0	0	0
323	25	0	0	0
324	1	0	0	0
325	26	0	0	1
326	20	0	0	0
327	18	0	0	0
328	10	0	0	0
329	15	0	0	0
330	16	0	0	0
331	19	1	0	0
332	14	0	0	0
333	18	0	0	0
334	13	0	0	0
335	29	0	0	0
336	16	0	0	0
337	12	0	0	0
338	16	0	0	0
339	27	0	0	1
340	19	0	0	1
341	29	0	0	1
342	16	1	0	0
343	16	0	0	0
344	14	1	0	0
345	28	0	0	0
346	14	0	0	0
347	17	0	0	0
348	18	0	0	0
349	19	0	0	0
350	18	0	0	1
351	15	0	0	0
352	11	1	0	0
353	17	0	0	0
354	13	0	0	0
355	19	0	1	0
356	15	0	0	0
357	15	0	0	0
358	14	0	0	0
359	13	1	0	0
360	14	0	0	0
361	22	0	0	0
362	16	0	0	0
363	26	0	0	0
364	16	0	0	0
365	13	3	0	1
366	18	0	0	0
367	13	0	0	0
368	9	0	0	0
369	13	0	0	0
370	18	0	0	0
371	21	0	0	0
372	11	0	0	0
373	9	0	0	0
374	21	0	0	1
375	17	0	0	1
376	13	0	0	0
377	10	1	0	0
378	12	0	0	1
379	10	0	0	0
380	11	0	0	0
381	18	0	0	1
382	15	0	0	0
383	15	1	0	0
384	15	1	0	0
385	25	2	0	0
386	10	0	0	0
387	23	0	0	0
