"","CountryName","CountryCode","IndicatorName","IndicatorCode","Year","Value"
"1","European Union","EUU","Trademark applications, total","IP.TMK.TOTL",1960,113917
"2","China","CHN","Manufacturing, value added (% of GDP)","NV.IND.MANF.ZS",1960,38.9979409746054
"3","India","IND","Manufacturing, value added (% of GDP)","NV.IND.MANF.ZS",1960,13.7098662367417
"4","India","IND","Patent applications, nonresidents","IP.PAT.NRES",1960,3782
"5","India","IND","Patent applications, residents","IP.PAT.RESD",1960,721
"6","Japan","JPN","Trademark applications, total","IP.TMK.TOTL",1960,39089
"7","Korea, Rep.","KOR","Patent applications, nonresidents","IP.PAT.NRES",1960,66
"8","Korea, Rep.","KOR","Patent applications, residents","IP.PAT.RESD",1960,545
"9","Korea, Rep.","KOR","Trademark applications, total","IP.TMK.TOTL",1960,1209
"10","United States","USA","Patent applications, nonresidents","IP.PAT.NRES",1960,16631
"11","United States","USA","Patent applications, residents","IP.PAT.RESD",1960,63090
"12","United States","USA","Trademark applications, total","IP.TMK.TOTL",1960,22781
"13","European Union","EUU","Trademark applications, total","IP.TMK.TOTL",1961,118684
"14","China","CHN","Manufacturing, value added (% of GDP)","NV.IND.MANF.ZS",1961,29.6803278688525
"15","India","IND","Manufacturing, value added (% of GDP)","NV.IND.MANF.ZS",1961,14.3280257183148
"16","India","IND","Patent applications, nonresidents","IP.PAT.NRES",1961,4515
"17","India","IND","Patent applications, residents","IP.PAT.RESD",1961,774
"18","Japan","JPN","Trademark applications, total","IP.TMK.TOTL",1961,37458
"19","Korea, Rep.","KOR","Patent applications, nonresidents","IP.PAT.NRES",1961,58
"20","Korea, Rep.","KOR","Patent applications, residents","IP.PAT.RESD",1961,800
"21","Korea, Rep.","KOR","Trademark applications, total","IP.TMK.TOTL",1961,1665
"22","United States","USA","Patent applications, nonresidents","IP.PAT.NRES",1961,17061
"23","United States","USA","Patent applications, residents","IP.PAT.RESD",1961,66335
"24","United States","USA","Trademark applications, total","IP.TMK.TOTL",1961,23782
"25","European Union","EUU","Trademark applications, total","IP.TMK.TOTL",1962,123234
"26","China","CHN","Manufacturing, value added (% of GDP)","NV.IND.MANF.ZS",1962,28.3128861045854
"27","India","IND","Manufacturing, value added (% of GDP)","NV.IND.MANF.ZS",1962,14.8780882037957
"28","Japan","JPN","Trademark applications, total","IP.TMK.TOTL",1962,43985
"29","Korea, Rep.","KOR","Patent applications, nonresidents","IP.PAT.NRES",1962,68
"30","Korea, Rep.","KOR","Patent applications, residents","IP.PAT.RESD",1962,714
"31","Korea, Rep.","KOR","Trademark applications, total","IP.TMK.TOTL",1962,1890
"32","United States","USA","Trademark applications, total","IP.TMK.TOTL",1962,25130
"33","European Union","EUU","Patent applications, nonresidents","IP.PAT.NRES",1963,143033
"34","European Union","EUU","Patent applications, residents","IP.PAT.RESD",1963,101324
"35","European Union","EUU","Trademark applications, total","IP.TMK.TOTL",1963,127347
"36","China","CHN","Manufacturing, value added (% of GDP)","NV.IND.MANF.ZS",1963,29.6440444336333
"37","India","IND","Manufacturing, value added (% of GDP)","NV.IND.MANF.ZS",1963,14.8467406232626
"38","India","IND","Patent applications, nonresidents","IP.PAT.NRES",1963,4798
"39","India","IND","Patent applications, residents","IP.PAT.RESD",1963,878
"40","India","IND","Trademark applications, total","IP.TMK.TOTL",1963,6707
"41","Japan","JPN","Patent applications, nonresidents","IP.PAT.NRES",1963,17914
"42","Japan","JPN","Patent applications, residents","IP.PAT.RESD",1963,53876
"43","Japan","JPN","Trademark applications, total","IP.TMK.TOTL",1963,56776
"44","Korea, Rep.","KOR","Patent applications, nonresidents","IP.PAT.NRES",1963,103
"45","Korea, Rep.","KOR","Patent applications, residents","IP.PAT.RESD",1963,2455
"46","Korea, Rep.","KOR","Trademark applications, total","IP.TMK.TOTL",1963,1295
"47","United States","USA","Patent applications, nonresidents","IP.PAT.NRES",1963,19154
"48","United States","USA","Patent applications, residents","IP.PAT.RESD",1963,66715
"49","United States","USA","Trademark applications, total","IP.TMK.TOTL",1963,24391
"50","European Union","EUU","Patent applications, nonresidents","IP.PAT.NRES",1964,133303
"51","European Union","EUU","Patent applications, residents","IP.PAT.RESD",1964,95679
"52","European Union","EUU","Trademark applications, total","IP.TMK.TOTL",1964,130071
"53","China","CHN","Manufacturing, value added (% of GDP)","NV.IND.MANF.ZS",1964,31.7125171939477
"54","India","IND","Manufacturing, value added (% of GDP)","NV.IND.MANF.ZS",1964,13.974787139326
"55","India","IND","Patent applications, nonresidents","IP.PAT.NRES",1964,4799
"56","India","IND","Patent applications, residents","IP.PAT.RESD",1964,902
"57","India","IND","Trademark applications, total","IP.TMK.TOTL",1964,6594
"58","Japan","JPN","Patent applications, nonresidents","IP.PAT.NRES",1964,19424
"59","Japan","JPN","Patent applications, residents","IP.PAT.RESD",1964,55556
"60","Japan","JPN","Trademark applications, total","IP.TMK.TOTL",1964,59950
"61","Korea, Rep.","KOR","Patent applications, nonresidents","IP.PAT.NRES",1964,164
"62","Korea, Rep.","KOR","Patent applications, residents","IP.PAT.RESD",1964,744
"63","Korea, Rep.","KOR","Trademark applications, total","IP.TMK.TOTL",1964,1845
"64","United States","USA","Patent applications, nonresidents","IP.PAT.NRES",1964,20579
"65","United States","USA","Patent applications, residents","IP.PAT.RESD",1964,67013
"66","United States","USA","Trademark applications, total","IP.TMK.TOTL",1964,25574
"67","European Union","EUU","Patent applications, nonresidents","IP.PAT.NRES",1965,166799
"68","European Union","EUU","Patent applications, residents","IP.PAT.RESD",1965,105635
"69","European Union","EUU","Trademark applications, total","IP.TMK.TOTL",1965,155852
"70","China","CHN","Manufacturing, value added (% of GDP)","NV.IND.MANF.ZS",1965,31.8454635510751
"71","India","IND","Manufacturing, value added (% of GDP)","NV.IND.MANF.ZS",1965,14.2250102296571
"72","India","IND","Patent applications, nonresidents","IP.PAT.NRES",1965,5054
"73","India","IND","Patent applications, residents","IP.PAT.RESD",1965,948
"74","India","IND","Trademark applications, total","IP.TMK.TOTL",1965,6654
"75","Japan","JPN","Patent applications, nonresidents","IP.PAT.NRES",1965,21127
"76","Japan","JPN","Patent applications, residents","IP.PAT.RESD",1965,60796
"77","Japan","JPN","Trademark applications, total","IP.TMK.TOTL",1965,62123
