"","country","ave.score","ave.energy","ave.fat","ave.carb","ave.protein","ave.sodium","ave.fiber","ave.sugar"
"1","France",7.68158706705489,NA,NA,NA,NA,NA,NA,NA
"2","Germany",7.70611778158948,1047.33895940537,NA,22.6258719268153,8.83683647798742,0.434590719169109,NA,11.5014522584334
"3","Spain",4.77647058823529,1006.67149019608,NA,24.6204901960784,5.26204183006536,0.387648929935155,NA,9.68485620915033
"4","United Kingdom",8.19169027384325,NA,NA,NA,NA,NA,NA,NA
"5","United States",8.90990990990991,NA,NA,NA,NA,NA,NA,NA
"6","Australia",8.14444444444444,NA,NA,NA,NA,NA,NA,NA
"7","Belgium",8.77777777777778,NA,NA,NA,NA,NA,NA,NA
"8","Switzerland",6.94516129032258,NA,NA,NA,NA,NA,NA,NA
"9","Portugal",7.7563025210084,1112.93193277311,12.1533193277311,32.2740756302521,6.57470588235294,0.463849268510554,NA,14.2765966386555
"10","Italy",9.33684210526316,NA,NA,NA,NA,NA,NA,NA
"11","Austria",4.46875,744.65625,6.42,22.475,5.93375,2.00770890748031,NA,8.703125
"12","Canada",7.57894736842105,NA,NA,NA,NA,NA,NA,NA
"13","Mexico",8.41666666666667,1124.575,11.7918333333333,39.0866666666667,4.42833333333333,0.55649,3.50416666666667,10.2975
"14","Brazil",9.42857142857143,NA,NA,NA,NA,NA,NA,NA
"15","Poland",10.6470588235294,1047.05882352941,11.92,31.1647058823529,3.94117647058824,0.172349421028254,NA,20.9352941176471
"16","Netherlands",11.8169014084507,1314.67605633803,13.8408450704225,38.3633802816901,7.42619718309859,0.701904180991461,NA,23.7112676056338
"17","New Zealand",8.625,1261.52083333333,12.78125,36.61875,7.38125,0.3549375,NA,19.1791666666667
"18","Denmark",7.17777777777778,929.222222222222,12.5955555555556,19.3555555555556,6.88666666666667,0.74581627296588,NA,6.78666666666667
