"","main_category_en","ave.score","ave.energy","ave.fat","ave.carb","ave.protein","ave.sodium","ave.fiber","ave.sugar"
"1","Beverages",2.37687861271676,308.402946723244,1.14458472906404,14.4040309637405,1.20198668316832,0.0561847252843395,1.10202111959288,12.6784919144497
"2","Canned foods",3.57926829268293,712.371866666667,11.0304665981501,4.04029460580913,13.447022610483,0.422575416709275,1.35448249027237,1.14141346153846
"3","Dairies",8.0393598615917,713.914382275629,12.3612998925116,7.39898631178707,9.15475037821483,0.248620543158458,0.286589751243781,6.44892299533305
"4","Fresh foods",9.01677539608574,865.673226072607,15.3593993783994,8.15246797004992,11.0454699544136,0.415223208188691,0.721914699162224,4.82111811023622
"5","Groceries",9.73395721925134,870.261938396176,16.0094157020364,12.718734013971,3.09483584499462,2.53408513203642,1.94614449760766,7.74341580565806
"6","Meals",2.85727699530516,620.799683933275,6.36909788359788,15.4628949691086,6.79490265486726,0.382791803413049,2.02902896725441,2.20381605975724
"7","Meats",11.7535263548627,928.867537754432,14.8131779497099,2.02400795755968,20.2508399470899,0.917086440888437,0.626027118644068,0.977484604105572
"8","Plant-based foods and beverages",1.65899581589958,1141.79316070583,10.5967298050472,36.7408772348033,6.94099366483385,0.22984132630767,4.20284785228677,9.88052980220364
"9","Salty snacks",12.9089989888777,2059.18301443696,26.0754571703561,55.5687632850242,7.71511627906977,0.692673534164085,4.06736774193548,4.10285957873621
"10","Sugary snacks",18.444167610419,1890.52245831588,21.5066856482454,58.6502183497795,6.17895964691047,0.170962349475476,3.90710959609121,36.1927152096343
