"","GS.Open","GS.High","GS.Low","GS.Close","GS.Volume","GS.Adjusted"
"1",66.625,66.625,63.5625,64.1875,953900,54.263656
"2",63.75,64.0625,62,63.25,2204300,53.4711
"3",64,64.1875,63.125,63.625,852600,53.788122
"4",64.3125,67,64.3125,65.375,1357400,55.26756
"5",65.1875,67.75,65.1875,65.9375,891900,55.743093
"6",65.375,65.6875,63.75,63.75,571700,53.893796
"7",64.25,65.5,63.625,65.5,611400,55.373234
"8",64.875,64.9375,63.3125,63.375,664200,53.576774
"9",63.9375,64.3125,62.3125,63.25,969300,53.4711
"10",63.5,64,60.5,61.25,821100,51.780314
"11",62.875,63.375,62.25,62.75,831700,53.048403
"12",63.9375,65.4375,63.9375,65.25,690300,55.161886
"13",64.5,66.875,64.5,65,955700,54.950537
"14",64.25,64.875,63.5,64.8125,613900,54.792026
"15",66.6875,69.9375,66.5625,69.5,1811000,58.754805
"16",70.125,70.125,67.75,68,1165900,57.486716
"17",67.0625,67.4375,64.875,65,1351700,54.950537
"18",66.0625,66.5,64.5,65.0625,1408900,55.003374
"19",65.5,66.8125,65.375,66.25,1111500,56.007278
"20",66.4375,67.5,65.75,66.5625,784600,56.271464
"21",66,68.5,66,67.75,629800,57.275368
"22",68.5,72.25,66.125,72.25,2127600,61.079636
"23",71.375,71.4375,69.75,70.8125,813600,59.864384
"24",70.5625,71.1875,69.6875,70.9375,536900,59.970058
"25",70,71.1875,69.25,70.5,747600,59.600198
"26",69.5625,70,68,68,648800,57.486716
"27",68,68.875,67.1875,67.25,424400,56.852671
"28",67.4375,68.1875,67.25,67.25,312700,56.852671
"29",68,68.9375,67.875,68.375,547700,57.803738
"30",68.25,68.6875,67.625,67.875,969600,57.381042
"31",67.375,67.75,67.3125,67.625,888200,57.169694
"32",68,68,67.5,67.9375,864700,57.433879
"33",67.75,68.75,67.75,68.0625,476700,57.539553
"34",68.25,70.75,68.25,69.4375,646100,58.701968
"35",69.125,70.4375,67.875,68.125,886100,57.59239
"36",68,68.0625,67.125,67.875,626100,57.381042
"37",68.125,68.25,66.5,66.5,579500,56.218627
"38",66.375,66.375,64,64.0625,767200,54.157982
"39",64.25,64.75,63.1875,63.25,749500,53.4711
"40",64.25,65.75,63.3125,65.5,592200,55.373234
"41",65.25,66.375,64,66.0625,584800,55.848767
"42",65.5,65.5,64.5,65,646000,54.950537
"43",65,65,63.625,64.3125,629600,54.36933
"44",64.25,64.5625,62.375,62.8125,566400,53.10124
"45",62.8125,62.8125,60.75,60.8125,837700,51.410455
"46",60.5625,61.5,60,60,1281600,50.723573
"47",59.8125,60,57.8125,59.25,1539900,50.089528
"48",58.9375,58.9375,56,56.25,1308500,47.55335
"49",56.5,57.5,55.8125,55.8125,1347500,47.18349
"50",56.25,57.1875,55.1875,57,1817400,48.291224
"51",57.875,61.5625,57.4375,61.5,1369200,52.103689
"52",61.4375,62.1875,60.5625,60.6875,832800,51.415328
"53",62.4375,63.25,62.0625,63.125,557400,53.480413
"54",63,63,60.875,62.875,762600,53.268609
"55",63.25,64.5,62.625,63,936900,53.374511
"56",63,63,61.0625,62.3125,819300,52.792051
"57",61.625,62.5,60.8125,61.5625,624600,52.15664
"58",61.8125,62.9375,61.625,62.3125,439600,52.792051
"59",62.8125,63.8125,62.625,63.625,837200,53.90402
"60",63.5625,65,62.8125,63.4375,894200,53.745167
"61",63.125,64.3125,62.3125,64,449900,54.221725
"62",64,64.875,62.75,62.75,378400,53.162707
"63",63,63,61.5,61.5625,265300,52.15664
"64",61.75,61.75,59.3125,59.3125,438100,50.250408
"65",59.5,60.5,58.6875,59.8125,496600,50.674015
"66",60.5625,60.6875,59.8125,60.3125,560100,51.097622
"67",59.5,60.4375,58.875,59.25,727600,50.197457
"68",60.75,63.125,60.75,63.125,754900,53.480413
"69",63,64.4375,62.4375,62.5,813600,52.950904
"70",62.4375,63.625,62.125,62.5625,732100,53.003855
"71",62.5,62.5625,61,61.75,448800,52.315493
"72",62.375,63.0937,61.625,63.0937,636300,53.453895
"73",62.1875,62.8125,62,62.125,250700,52.633198
"74",61.375,61.375,58.75,59.375,1160600,50.303359
"75",60.125,60.125,58.0625,58.3125,970200,49.403193
"76",58.5625,59.125,57.4375,57.6875,753200,48.873684
"77",58.625,60.0625,58.5,60.0625,1116700,50.885819
"78",60.0625,60.75,59.5,60.75,721800,51.468278
"79",60.5625,61.75,58.375,59.125,2369100,50.091555
"80",59.9375,62,59.0625,61.3125,1534700,51.944837
"81",61.75,62.25,60.75,60.8125,889800,51.521229
"82",61.0625,62.1875,60.875,61.9375,831400,52.474346
"83",62,62.625,61.25,61.5625,624700,52.15664
"84",61.3125,62.25,61.0625,62.25,819900,52.7391
"85",62.375,62.75,61.125,61.4375,800900,52.050738
"86",61.9375,62.5,61,61,1113400,51.680082
"87",61,61.25,58.3125,59.1875,793300,50.144506
"88",59.5,61.6875,59.5,61.6875,739400,52.262542
"89",62.125,63.25,61.375,62.25,1040500,52.7391
"90",62.125,64,61.8125,64,944200,54.221725
"91",64,64.125,63.1875,63.1875,366300,53.533364
"92",62.5,63.9375,61.875,63.9375,488800,54.168775
"93",63.75,63.9375,63.5,63.6875,229300,53.956971
"94",63.6875,63.75,62.75,62.9375,644200,53.32156
"95",62.375,62.625,60.6875,61,393000,51.680082
"96",60.5,62.5625,58.875,62,1016000,52.527297
"97",60.5,60.625,58.25,59.75,1088000,50.621064
