,Date,USDBRLV1W,USDBRLV1M,Spread,USDBRLV3M,USDBRLV6M,Spread
W,09/19/2012,8.145,8.733,-0.588,9.705,10.775,-1.07
T,09/18/2012,8.735,9.243,-0.508,10.185,11.065,-0.88
M,09/17/2012,9.3775,9.483,-0.1055,10.38,11.155,-0.775
F,09/14/2012,9.1775,9.203,-0.0255,10.245,11.17,-0.925
T,09/13/2012,8.69,9.087,-0.397,9.887,10.84,-0.953
W,09/12/2012,8.74,9.172,-0.432,10.375,11.507,-1.132
T,09/11/2012,8.98,9.458,-0.478,10.47,11.635,-1.165
M,09/10/2012,8.87,9.49,-0.62,10.585,11.788,-1.203
F,09/07/2012,8.73,9.75,-1.02,10.743,11.83,-1.087
T,09/06/2012,9.2575,10.13,-0.8725,11.108,12.038,-0.93
W,09/05/2012,9.97,10.58,-0.61,11.403,12.26,-0.857
T,09/04/2012,9.765,10.6,-0.835,11.355,12.233,-0.878
M,09/03/2012,9.5775,10.802,-1.2245,11.358,12.273,-0.915
F,08/31/2012,9.655,10.703,-1.048,11.273,12.257,-0.984
T,08/30/2012,10.8575,10.925,-0.0675,11.435,12.327,-0.892
W,08/29/2012,10.295,10.592,-0.297,11.4,12.273,-0.873
T,08/28/2012,9.9425,10.575,-0.6325,11.333,12.237,-0.904
M,08/27/2012,8.97,10.182,-1.212,11.17,12.083,-0.913
F,08/24/2012,8.675,10.177,-1.502,11.23,12.18,-0.95
T,08/23/2012,8.53,10.17,-1.64,11.25,12.16,-0.91
W,08/22/2012,8.005,9.762,-1.757,10.965,12.003,-1.038
T,08/21/2012,8.67,10.205,-1.535,11.218,12.163,-0.945
M,08/20/2012,8.165,9.97,-1.805,11.058,12.028,-0.97
F,08/17/2012,8.495,9.975,-1.48,11.02,12.048,-1.028
T,08/16/2012,8.595,9.97,-1.375,11.07,12.063,-0.993
W,08/15/2012,8.9925,10,-1.0075,11.073,12.038,-0.965
T,08/14/2012,9.3975,10.1,-0.7025,11.038,11.977,-0.939
M,08/13/2012,9.6475,10.095,-0.4475,11.015,11.917,-0.902
F,08/10/2012,9.7875,10.233,-0.4455,11.198,12.087,-0.889
T,08/09/2012,9.825,10.255,-0.43,11.225,12.108,-0.883
W,08/08/2012,9.85,10.335,-0.485,11.185,12.083,-0.898
T,08/07/2012,10.0225,10.61,-0.5875,11.362,12.075,-0.713
M,08/06/2012,10.05,10.685,-0.635,11.323,12.005,-0.682
F,08/03/2012,10.515,10.8,-0.285,11.3,12.028,-0.728
T,08/02/2012,11.1675,11.343,-0.1755,11.868,12.41,-0.542
W,08/01/2012,13.74,12.767,0.973,12.888,13.157,-0.269
T,07/31/2012,12.74,12.715,0.025,12.888,13.08,-0.192
M,07/30/2012,12.575,12.295,0.28,12.63,12.92,-0.29
F,07/27/2012,11.7325,11.715,0.0175,12.237,12.735,-0.498
T,07/26/2012,11.24,11.487,-0.247,12.25,12.833,-0.583
W,07/25/2012,11.665,12.04,-0.375,12.525,13.112,-0.587
T,07/24/2012,12.46,12.478,-0.018,12.89,13.347,-0.457
M,07/23/2012,11.8625,11.965,-0.1025,12.395,12.865,-0.47
F,07/20/2012,10.37,11.023,-0.653,11.985,12.538,-0.553
T,07/19/2012,10.48,10.975,-0.495,11.972,12.507,-0.535
W,07/18/2012,10.8125,11.495,-0.6825,12.29,12.77,-0.48
T,07/17/2012,10.8225,11.55,-0.7275,12.347,12.817,-0.47
M,07/16/2012,11.4275,11.94,-0.5125,12.675,13.085,-0.41
F,07/13/2012,11.705,12.36,-0.655,13.015,13.448,-0.433
T,07/12/2012,12.27,12.653,-0.383,13.235,13.565,-0.33
W,07/11/2012,12.8575,13.01,-0.1525,13.46,13.813,-0.353
T,07/10/2012,13.0575,13.24,-0.1825,13.632,13.888,-0.256
M,07/09/2012,13.5275,13.698,-0.1705,14.085,14.245,-0.16
F,07/06/2012,14.2375,13.935,0.3025,14.243,14.378,-0.135
T,07/05/2012,15.125,14.382,0.743,14.505,14.573,-0.068
W,07/04/2012,16.515,15.535,0.98,15.125,14.987,0.138
T,07/03/2012,16.34,15.265,1.075,14.88,14.75,0.13
M,07/02/2012,16.505,15.325,1.18,14.923,14.808,0.115
F,06/29/2012,16.0825,15.2,0.8825,14.865,14.785,0.08
T,06/28/2012,16.01,15.745,0.265,15.77,15.638,0.132
W,06/27/2012,14.94,15.247,-0.307,15.192,15.188,0.004
T,06/26/2012,14.955,15.138,-0.183,15.13,15.132,-0.002
M,06/25/2012,15.1675,15.26,-0.0925,15.132,15.112,0.02
F,06/22/2012,14.7625,14.757,0.0055,14.885,15.05,-0.165
T,06/21/2012,14.67,14.5,0.17,14.9,14.948,-0.048
W,06/20/2012,14.775,14.94,-0.165,15.025,15.023,0.002
T,06/19/2012,15.1975,15.262,-0.0645,15.33,15.325,0.005
M,06/18/2012,16.97,16.688,0.282,16.24,16.048,0.192
F,06/15/2012,19.9825,17.795,2.1875,16.682,16.267,0.415
T,06/14/2012,20.555,18.218,2.337,16.993,16.403,0.59
W,06/13/2012,20.335,18.243,2.092,16.943,16.38,0.563
T,06/12/2012,19.95,18.042,1.908,16.693,16.337,0.356
M,06/11/2012,19.1425,17.333,1.8095,16.4,16.073,0.327
F,06/08/2012,16.5825,16.747,-0.1645,16.292,16.092,0.2
T,06/07/2012,17.3625,16.8,0.5625,16.27,16.103,0.167
W,06/06/2012,16.905,16.61,0.295,16.217,16.048,0.169
T,06/05/2012,17.55,16.778,0.772,16.19,16.032,0.158
M,06/04/2012,17.7425,17.295,0.4475,16.658,16.302,0.356
F,06/01/2012,17.895,17.27,0.625,16.658,16.337,0.321
T,05/31/2012,17.25,16.638,0.612,16.458,16.22,0.238
W,05/30/2012,17.84,17.245,0.595,16.722,16.545,0.177
T,05/29/2012,16.935,16.737,0.198,16.448,16.31,0.138
M,05/28/2012,18.2575,17.458,0.7995,16.745,16.53,0.215
F,05/25/2012,18.9075,17.88,1.0275,16.92,16.673,0.247
T,05/24/2012,21.13,19.23,1.9,17.58,17.142,0.438
W,05/23/2012,21.705,19.042,2.663,17.913,17.653,0.26
T,05/22/2012,19.475,18.63,0.845,18.028,17.72,0.308
M,05/21/2012,18.545,18.127,0.418,17.682,17.51,0.172
F,05/18/2012,18.0275,16.958,1.0695,16.94,16.875,0.065
T,05/17/2012,16.335,16.175,0.16,16.108,16.173,-0.065
W,05/16/2012,17.0025,16.685,0.3175,16.63,16.507,0.123
T,05/15/2012,16.63,16.37,0.26,16.27,16.175,0.095
M,05/14/2012,16.865,16.125,0.74,15.95,15.845,0.105
F,05/11/2012,14.3725,14.27,0.1025,14.58,14.725,-0.145
T,05/10/2012,14.4575,14.035,0.4225,14.495,14.532,-0.037
W,05/09/2012,15.0075,14.01,0.9975,14.202,14.347,-0.145
T,05/08/2012,12.7525,12.695,0.0575,13.13,13.602,-0.472
M,05/07/2012,12.245,12.405,-0.16,12.865,13.378,-0.513
F,05/04/2012,12.1525,12.275,-0.1225,12.942,13.403,-0.461
T,05/03/2012,12.955,12.818,0.137,13.37,13.663,-0.293
W,05/02/2012,12.49,12.705,-0.215,13.368,13.747,-0.379
T,05/01/2012,11.6,11.667,-0.067,12.535,13.403,-0.868
M,04/30/2012,10.88,11.422,-0.542,12.4,13.31,-0.91
F,04/27/2012,10.5,10.945,-0.445,12.18,13.077,-0.897
T,04/26/2012,11.11,11.75,-0.64,12.875,13.38,-0.505
W,04/25/2012,11.2775,12.035,-0.7575,13.017,13.712,-0.695
T,04/24/2012,11.5,12.535,-1.035,13.177,13.817,-0.64
M,04/23/2012,12.7875,13.145,-0.3575,13.57,13.898,-0.328
F,04/20/2012,12.47,12.727,-0.257,13.327,13.718,-0.391
T,04/19/2012,14.6625,13.425,1.2375,13.987,14.153,-0.166
W,04/18/2012,14.32,13.24,1.08,13.38,13.892,-0.512
T,04/17/2012,11.485,11.235,0.25,12.08,13.138,-1.058
M,04/16/2012,10.3175,10.995,-0.6775,11.945,13.138,-1.193
F,04/13/2012,10.575,10.608,-0.033,11.87,13.077,-1.207
T,04/12/2012,10.535,10.458,0.077,11.76,12.923,-1.163
W,04/11/2012,11.015,11.052,-0.037,11.962,13.097,-1.135
T,04/10/2012,11.59,11.512,0.078,12.347,13.2,-0.853
M,04/09/2012,10.0175,10.96,-0.9425,12.067,12.99,-0.923
F,04/06/2012,11.115,11.622,-0.507,12.542,13.41,-0.868
T,04/05/2012,10.5325,11.462,-0.9295,12.388,13.265,-0.877
W,04/04/2012,11,11.512,-0.512,12.442,13.265,-0.823
T,04/03/2012,11.085,11.74,-0.655,12.275,13.125,-0.85
M,04/02/2012,11.455,12.182,-0.727,12.835,13.413,-0.578
F,03/30/2012,11.9825,12.265,-0.2825,12.915,13.37,-0.455
T,03/29/2012,13.555,13.038,0.517,13.405,13.802,-0.397
W,03/28/2012,13.145,12.805,0.34,13.212,13.563,-0.351
T,03/27/2012,12.9725,12.653,0.3195,13.048,13.55,-0.502
M,03/26/2012,12.8475,12.97,-0.1225,13.405,13.735,-0.33
F,03/23/2012,12.82,13.04,-0.22,13.497,13.972,-0.475
T,03/22/2012,15.055,14.315,0.74,14.407,14.417,-0.01
W,03/21/2012,15.4,14.72,0.68,14.675,14.577,0.098
T,03/20/2012,16.2225,14.788,1.4345,14.74,14.77,-0.03
M,03/19/2012,14.47,14.08,0.39,14.183,14.28,-0.097
F,03/16/2012,14.94,13.708,1.232,13.842,14.093,-0.251
T,03/15/2012,15.5625,14.017,1.5455,13.935,14.128,-0.193
W,03/14/2012,16.7675,14.967,1.8005,14.885,15.077,-0.192
T,03/13/2012,17.745,15.302,2.443,15.262,15.468,-0.206
M,03/12/2012,17.29,15.92,1.37,15.952,16.022,-0.07
F,03/09/2012,14.425,13.805,0.62,14.315,14.427,-0.112
T,03/08/2012,15.3575,13.755,1.6025,14.208,14.888,-0.68
W,03/07/2012,15.96,14.253,1.707,14.24,14.775,-0.535
T,03/06/2012,13.6425,13.247,0.3955,13.442,14.192,-0.75
M,03/05/2012,11.9875,11.948,0.0395,12.372,13.523,-1.151
F,03/02/2012,11.585,11.685,-0.1,12.34,13.575,-1.235
T,03/01/2012,11.345,11.317,0.028,12.298,13.56,-1.262
W,02/29/2012,13.5325,12.298,1.2345,12.79,13.885,-1.095
T,02/28/2012,11.195,11.23,-0.035,12.24,13.625,-1.385
M,02/27/2012,10.875,11.59,-0.715,12.56,13.77,-1.21
F,02/24/2012,11.6125,11.475,0.1375,12.745,13.935,-1.19
T,02/23/2012,11.665,12.03,-0.365,13.025,14.205,-1.18
W,02/22/2012,11.895,11.87,0.025,12.915,14.275,-1.36
T,02/21/2012,10.8675,11.785,-0.9175,12.885,14.288,-1.403
M,02/20/2012,9.94,11.757,-1.817,13.09,14.33,-1.24
F,02/17/2012,10.28,11.843,-1.563,13.09,14.355,-1.265
T,02/16/2012,10.66,12.05,-1.39,13.295,14.525,-1.23
W,02/15/2012,10.13,11.65,-1.52,12.975,14.36,-1.385
T,02/14/2012,10.06,11.665,-1.605,13.095,14.505,-1.41
M,02/13/2012,10.225,11.465,-1.24,13.14,14.475,-1.335
F,02/10/2012,11.98,12.575,-0.595,13.85,15.055,-1.205
T,02/09/2012,12.3375,12.775,-0.4375,13.835,15.035,-1.2
W,02/08/2012,13.14,13.065,0.075,14.33,15.245,-0.915
T,02/07/2012,13.585,13.372,0.213,14.36,15.38,-1.02
M,02/06/2012,12.775,13.34,-0.565,14.435,15.455,-1.02
F,02/03/2012,13.33,13.1,0.23,14.41,15.487,-1.077
T,02/02/2012,12.885,13.295,-0.41,14.653,15.722,-1.069
W,02/01/2012,13.4775,13.36,0.1175,14.65,15.733,-1.083
T,01/31/2012,14.1425,13.663,0.4795,14.657,15.797,-1.14
M,01/30/2012,13.8,13.9,-0.1,14.765,15.795,-1.03
F,01/27/2012,14.0875,13.427,0.6605,14.68,15.827,-1.147
T,01/26/2012,13.89,13.432,0.458,14.66,15.755,-1.095
W,01/25/2012,13.8675,13.775,0.0925,14.655,15.775,-1.12
T,01/24/2012,13.6075,13.825,-0.2175,14.65,15.792,-1.142
M,01/23/2012,12.6425,13.68,-1.0375,14.625,15.612,-0.987
F,01/20/2012,13.7875,14.055,-0.2675,15.03,15.852,-0.822
T,01/19/2012,13.945,14.43,-0.485,15.483,16.245,-0.762
W,01/18/2012,15.185,15.467,-0.282,15.977,16.477,-0.5
T,01/17/2012,15.9175,15.975,-0.0575,16.34,16.888,-0.548
M,01/16/2012,15.395,15.935,-0.54,16.347,16.992,-0.645
F,01/13/2012,16.205,16.087,0.118,16.415,17.01,-0.595
T,01/12/2012,16.1075,15.993,0.1145,16.447,17.028,-0.581
W,01/11/2012,16.8,16.31,0.49,16.557,17.057,-0.5
T,01/10/2012,14.745,15.895,-1.15,16.715,17.323,-0.608
M,01/09/2012,14.75,16.217,-1.467,16.855,17.413,-0.558
F,01/06/2012,16.515,16.602,-0.087,17.332,17.88,-0.548
T,01/05/2012,15.9325,17.01,-1.0775,17.857,18.357,-0.5
W,01/04/2012,17.115,17.445,-0.33,17.912,18.372,-0.46
T,01/03/2012,15.525,17.185,-1.66,17.965,18.482,-0.517
M,01/02/2012,12.0175,16.992,-4.9745,18.442,18.66,-0.218
F,12/30/2011,12.0875,17.037,-4.9495,18.362,18.705,-0.343
T,12/29/2011,12.5575,17.275,-4.7175,18.438,18.655,-0.217
W,12/28/2011,14.34,17.337,-2.997,18.522,18.702,-0.18
T,12/27/2011,12.705,16.8,-4.095,18.232,18.795,-0.563
M,12/26/2011,13.7125,17.033,-3.3205,18.272,18.86,-0.588
F,12/23/2011,13.445,17.24,-3.795,18.357,18.917,-0.56
T,12/22/2011,15.2925,17.673,-2.3805,18.802,19.082,-0.28
W,12/21/2011,15.6525,17.822,-2.1695,18.827,19.175,-0.348
T,12/20/2011,16.885,18.355,-1.47,19.035,19.412,-0.377
M,12/19/2011,17.155,18.997,-1.842,19.357,19.79,-0.433
F,12/16/2011,18.1125,18.982,-0.8695,19.692,19.91,-0.218
T,12/15/2011,22.06,21.052,1.008,20.875,20.757,0.118
W,12/14/2011,24.515,21.92,2.595,21.417,21.217,0.2
T,12/13/2011,21.745,21.12,0.625,20.935,20.815,0.12
M,12/12/2011,21.1075,20.487,0.6205,20.267,20.15,0.117
F,12/09/2011,20.565,19.542,1.023,19.535,19.477,0.058
T,12/08/2011,20.645,18.982,1.663,19.132,19.243,-0.111
W,12/07/2011,18.85,18.087,0.763,18.417,18.74,-0.323
T,12/06/2011,18.8575,18.205,0.6525,18.515,18.802,-0.287
M,12/05/2011,18.345,18.482,-0.137,18.627,18.975,-0.348
F,12/02/2011,19.775,18.807,0.968,19.237,19.327,-0.09
T,12/01/2011,22.685,20.137,2.548,19.72,19.48,0.24
W,11/30/2011,22.2875,20.767,1.5205,20.095,19.847,0.248
T,11/29/2011,23.015,22.655,0.36,21.612,21.155,0.457
M,11/28/2011,23.6,23.615,-0.015,22.057,21.565,0.492
F,11/25/2011,26.43,24.24,2.19,23.197,22.442,0.755
T,11/24/2011,25.93,23.33,2.6,21.93,21.257,0.673
W,11/23/2011,24.1725,22.695,1.4775,21.972,21.535,0.437
T,11/22/2011,20.885,20.8,0.085,20.182,20.063,0.119
M,11/21/2011,21.64,20.997,0.643,20.135,19.87,0.265
F,11/18/2011,19.3975,19.18,0.2175,18.952,18.75,0.202
T,11/17/2011,19.7925,19.15,0.6425,19.167,19.005,0.162
W,11/16/2011,19.71,19.462,0.248,19.21,19.068,0.142
T,11/15/2011,19.875,19.66,0.215,19.457,19.292,0.165
M,11/14/2011,19.78,19.49,0.29,19.307,19.152,0.155
F,11/11/2011,19.835,19.408,0.427,19.26,19.102,0.158
T,11/10/2011,22.03,19.765,2.265,19.432,19.165,0.267
W,11/09/2011,21.84,20.3,1.54,19.64,19.407,0.233
T,11/08/2011,19.0925,19.057,0.0355,18.872,18.715,0.157
M,11/07/2011,21.61,20.575,1.035,19.967,19.56,0.407
F,11/04/2011,23.8475,20.622,3.2255,19.682,19.527,0.155
T,11/03/2011,25.395,21.322,4.073,20.307,20.007,0.3
W,11/02/2011,26.075,21.945,4.13,20.42,20.167,0.253
T,11/01/2011,24.94,21.915,3.025,20.695,20.43,0.265
M,10/31/2011,19.245,18.692,0.553,18.695,18.732,-0.037
F,10/28/2011,18.18,17.805,0.375,18.042,18.382,-0.34
T,10/27/2011,18.55,18.045,0.505,18.542,18.595,-0.053
W,10/26/2011,20.34,20.04,0.3,20.19,20.282,-0.092
T,10/25/2011,22.6,20.697,1.903,20.527,20.595,-0.068
M,10/24/2011,21.035,20.408,0.627,20.475,20.545,-0.07
F,10/21/2011,22.5475,21.792,0.7555,21.497,21.385,0.112
T,10/20/2011,25.1825,22.727,2.4555,22.267,21.995,0.272
W,10/19/2011,21.82,20.902,0.918,20.792,20.632,0.16
T,10/18/2011,20.4675,20.673,-0.2055,20.625,20.86,-0.235
M,10/17/2011,19.525,19.952,-0.427,19.93,20.02,-0.09
F,10/14/2011,19.845,19.372,0.473,19.512,19.785,-0.273
T,10/13/2011,22.055,20.712,1.343,20.775,20.925,-0.15
W,10/12/2011,22.665,20.757,1.908,20.612,20.827,-0.215
T,10/11/2011,21.185,21.125,0.06,21.115,21.175,-0.06
M,10/10/2011,20.5725,20.87,-0.2975,21.077,21.162,-0.085
F,10/07/2011,23.2625,22.105,1.1575,21.732,21.673,0.059
T,10/06/2011,23.9275,23.79,0.1375,23.067,22.93,0.137
W,10/05/2011,25.655,25.572,0.083,24.652,24.022,0.63
T,10/04/2011,30.555,28.14,2.415,26.197,25.292,0.905
M,10/03/2011,30.215,28.107,2.108,26.052,25.205,0.847
F,09/30/2011,31.3575,27.72,3.6375,25.052,24.28,0.772
T,09/29/2011,31.005,26.715,4.29,25.3,24.545,0.755
W,09/28/2011,27.945,26.06,1.885,24.557,23.67,0.887
T,09/27/2011,29.0025,26.212,2.7905,24.78,23.495,1.285
M,09/26/2011,31.7025,29.27,2.4325,26.42,24.26,2.16
F,09/23/2011,33.01,28.725,4.285,26.302,24.515,1.787
T,09/22/2011,37.86,31.31,6.55,27.63,24.845,2.785
W,09/21/2011,31.545,26.842,4.703,24.072,22.97,1.102
T,09/20/2011,22.8125,21.042,1.7705,19.925,19.565,0.36
M,09/19/2011,22.055,20.692,1.363,19.42,19.342,0.078
F,09/16/2011,18.4025,17.91,0.4925,17.962,17.892,0.07
T,09/15/2011,17.695,17.423,0.272,17.702,17.775,-0.073
W,09/14/2011,18.6075,18.212,0.3955,17.902,17.845,0.057
T,09/13/2011,17.575,17.64,-0.065,17.4,17.313,0.087
M,09/12/2011,18.1125,17.717,0.3955,17.355,17.265,0.09
F,09/09/2011,17.06,15.985,1.075,16.38,16.565,-0.185
T,09/08/2011,15.4325,15.44,-0.0075,15.827,16.02,-0.193
W,09/07/2011,16.075,16.125,-0.05,16.095,16.15,-0.055
T,09/06/2011,16.145,16.36,-0.215,16.18,16.263,-0.083
M,09/05/2011,15.665,16.025,-0.36,15.845,15.965,-0.12
F,09/02/2011,15.205,15.38,-0.175,15.61,15.792,-0.182
T,09/01/2011,14.1925,14.357,-0.1645,14.785,15.285,-0.5
W,08/31/2011,13.555,13.97,-0.415,14.467,15.077,-0.61
T,08/30/2011,13.73,14.207,-0.477,14.637,15.2,-0.563
M,08/29/2011,13.835,14.185,-0.35,14.68,15.182,-0.502
F,08/26/2011,14.78,14.563,0.217,14.802,15.438,-0.636
T,08/25/2011,16.545,15.485,1.06,15.68,15.875,-0.195
W,08/24/2011,16.0425,15.332,0.7105,15.387,15.74,-0.353
T,08/23/2011,15.4825,14.887,0.5955,15.02,15.41,-0.39
M,08/22/2011,14.77,14.62,0.15,14.86,15.235,-0.375
F,08/19/2011,15.77,14.762,1.008,14.932,15.35,-0.418
T,08/18/2011,16.2275,15.342,0.8855,15.177,15.358,-0.181
W,08/17/2011,13.6925,13.862,-0.1695,14.217,14.605,-0.388
T,08/16/2011,15.08,15.12,-0.04,15.112,15.275,-0.163
M,08/15/2011,15.0125,15.32,-0.3075,15.315,15.365,-0.05
F,08/12/2011,17.0525,16.267,0.7855,15.862,15.665,0.197
T,08/11/2011,20.7475,18.167,2.5805,17.112,16.712,0.4
W,08/10/2011,18.56,17.52,1.04,16.72,16.417,0.303
T,08/09/2011,20.2325,17.372,2.8605,16.142,16.002,0.14
M,08/08/2011,17.085,15.175,1.91,14.787,14.837,-0.05
F,08/05/2011,14.0825,13.132,0.9505,13.095,13.585,-0.49
T,08/04/2011,14.1,12.92,1.18,12.977,13.368,-0.391
W,08/03/2011,13.075,12.288,0.787,12.378,12.9,-0.522
T,08/02/2011,12.865,12.34,0.525,12.405,12.935,-0.53
M,08/01/2011,12.62,12.075,0.545,12.257,12.832,-0.575
F,07/29/2011,12.2475,11.938,0.3095,12.045,12.858,-0.813
T,07/28/2011,12.47,11.95,0.52,12.237,12.79,-0.553
W,07/27/2011,11.98,12.135,-0.155,12.002,12.343,-0.341
T,07/26/2011,9.82,10.23,-0.41,10.932,12.09,-1.158
M,07/25/2011,9.59,10.067,-0.477,10.875,12.105,-1.23
F,07/22/2011,9.2875,9.923,-0.6355,10.875,12.145,-1.27
T,07/21/2011,9.45,9.903,-0.453,10.948,12.163,-1.215
W,07/20/2011,9.13,9.977,-0.847,11,12.195,-1.195
T,07/19/2011,9.6,10.238,-0.638,11.128,12.313,-1.185
M,07/18/2011,10.14,10.753,-0.613,11.4,12.427,-1.027
F,07/15/2011,10.195,10.7,-0.505,11.47,12.483,-1.013
T,07/14/2011,10.79,10.907,-0.117,11.593,12.515,-0.922
W,07/13/2011,10.98,11.205,-0.225,11.68,12.575,-0.895
T,07/12/2011,11.435,11.358,0.077,11.817,12.648,-0.831
M,07/11/2011,10.975,10.95,0.025,11.445,12.52,-1.075
F,07/08/2011,9.54,10.083,-0.543,10.98,12.227,-1.247
T,07/07/2011,9.5875,9.988,-0.4005,10.972,12.113,-1.141
W,07/06/2011,9.515,10.118,-0.603,11.028,12.265,-1.237
T,07/05/2011,9.51,10.128,-0.618,10.972,12.182,-1.21
M,07/04/2011,9.415,9.975,-0.56,10.98,12.215,-1.235
F,07/01/2011,9.25,9.827,-0.577,10.927,12.19,-1.263
T,06/30/2011,9.965,10.198,-0.233,11.14,12.352,-1.212
W,06/29/2011,9.9925,10.69,-0.6975,11.528,12.55,-1.022
T,06/28/2011,10.29,10.887,-0.597,11.735,12.677,-0.942
M,06/27/2011,10.8375,11.375,-0.5375,11.948,12.813,-0.865
F,06/24/2011,10.935,11.167,-0.232,11.95,12.788,-0.838
T,06/23/2011,10.955,11.128,-0.173,11.913,12.773,-0.86
W,06/22/2011,10.155,10.67,-0.515,11.573,12.538,-0.965
T,06/21/2011,10.075,11.115,-1.04,11.743,12.653,-0.91
M,06/20/2011,11.15,11.45,-0.3,12.145,13.023,-0.878
F,06/17/2011,11.385,11.413,-0.028,12.115,12.972,-0.857
T,06/16/2011,12.23,11.9,0.33,12.368,13.13,-0.762
W,06/15/2011,11.4775,11.177,0.3005,11.843,12.81,-0.967
T,06/14/2011,9.9275,10.493,-0.5655,11.352,12.493,-1.141
M,06/13/2011,10.11,10.718,-0.608,11.517,12.673,-1.156
F,06/10/2011,10.365,10.368,-0.003,11.44,12.622,-1.182
T,06/09/2011,10.1,10.16,-0.06,11.385,12.568,-1.183
W,06/08/2011,10.06,10.352,-0.292,11.375,12.517,-1.142
T,06/07/2011,9.825,10.233,-0.408,11.31,12.488,-1.178
M,06/06/2011,9.995,10.507,-0.512,11.465,12.563,-1.098
F,06/03/2011,10.155,10.382,-0.227,11.445,12.548,-1.103
T,06/02/2011,10.845,10.767,0.078,11.65,12.675,-1.025
W,06/01/2011,10.69,10.952,-0.262,11.763,12.727,-0.964
T,05/31/2011,10.285,10.878,-0.593,11.805,12.8,-0.995
M,05/30/2011,11.035,11.642,-0.607,12.343,13.205,-0.862
F,05/27/2011,11.16,11.738,-0.578,12.538,13.298,-0.76
T,05/26/2011,11.245,12.017,-0.772,12.567,13.355,-0.788
W,05/25/2011,12.4475,12.595,-0.1475,12.852,13.52,-0.668
T,05/24/2011,11.74,12.443,-0.703,12.835,13.465,-0.63
M,05/23/2011,12.695,13.028,-0.333,13.125,13.642,-0.517
F,05/20/2011,12.2175,12.09,0.1275,12.625,13.333,-0.708
T,05/19/2011,12.285,12.38,-0.095,12.808,13.358,-0.55
W,05/18/2011,12.8025,12.765,0.0375,12.878,13.283,-0.405
T,05/17/2011,13.4425,13.128,0.3145,13.173,13.42,-0.247
M,05/16/2011,13.44,13.148,0.292,13.067,13.283,-0.216
F,05/13/2011,13.365,12.847,0.518,12.868,13.145,-0.277
T,05/12/2011,12.685,12.5,0.185,12.615,13.03,-0.415
W,05/11/2011,12.095,12.122,-0.027,12.365,12.792,-0.427
T,05/10/2011,12.27,12.355,-0.085,12.49,12.88,-0.39
M,05/09/2011,12.965,12.827,0.138,12.743,12.98,-0.237
F,05/06/2011,13.465,12.753,0.712,12.727,13.115,-0.388
T,05/05/2011,15.2125,13.298,1.9145,13.165,13.247,-0.082
W,05/04/2011,12.4325,12.372,0.0605,12.385,12.67,-0.285
T,05/03/2011,11.995,11.825,0.17,11.885,12.318,-0.433
M,05/02/2011,11.13,11.257,-0.127,11.538,12.08,-0.542
F,04/29/2011,11.775,11.597,0.178,11.625,12.198,-0.573
T,04/28/2011,12.03,11.51,0.52,11.675,12.208,-0.533
W,04/27/2011,11.07,10.878,0.192,11.045,11.878,-0.833
T,04/26/2011,10.545,10.665,-0.12,10.93,11.773,-0.843
M,04/25/2011,10.385,10.693,-0.308,10.83,11.783,-0.953
F,04/22/2011,9.815,10.33,-0.515,10.702,11.73,-1.028
T,04/21/2011,10.085,10.387,-0.302,10.733,11.738,-1.005
,,,,,,,
