Security,BCSWFPD CMPN Curncy                                             ,,
Start Date,4/25/2011 0:00,,
End Date,4/21/2016 0:00,,
Period,D,,
Pricing Source,CMPN,,
,,,
Date,PX_LAST,Change,% Change
4/21/2016,13.1589,-0.0326,-0.247128833
4/20/2016,13.1915,-0.0496,-0.374591235
4/19/2016,13.2411,0.0043,0.032485193
4/18/2016,13.2368,-0.1497,-1.118290815
4/15/2016,13.3865,-0.0485,-0.360997395
4/14/2016,13.435,-0.0342,-0.25391263
4/13/2016,13.4692,-0.1335,-0.981422806
4/12/2016,13.6027,-0.0243,-0.178322448
4/11/2016,13.627,-0.0269,-0.197013308
4/8/2016,13.6539,-0.1418,-1.027856506
4/7/2016,13.7957,0.0572,0.416348219
4/6/2016,13.7385,0.0149,0.108572095
4/5/2016,13.7236,0.0118,0.086057265
4/4/2016,13.7118,-0.0597,-0.433503976
4/1/2016,13.7715,-0.0336,-0.243388313
3/31/2016,13.8051,0.1609,1.179255654
3/30/2016,13.6442,-0.0028,-0.02051733
3/29/2016,13.647,0.013,0.095349861
3/28/2016,13.634,-0.078,-0.568844807
3/24/2016,13.712,0.1045,0.767958846
3/23/2016,13.6075,-0.0252,-0.184849663
3/22/2016,13.6327,-0.0684,-0.499229989
3/21/2016,13.7011,0.019,0.138867571
3/18/2016,13.6821,0.0567,0.416134572
3/17/2016,13.6254,-0.0921,-0.671405139
3/16/2016,13.7175,-0.1421,-1.025282115
3/15/2016,13.8596,0.1497,1.091911684
3/14/2016,13.7099,0.0241,0.176094931
3/11/2016,13.6858,-0.1292,-0.935215346
3/10/2016,13.815,-0.0737,-0.530647217
3/9/2016,13.8887,-0.1713,-1.218349929
3/8/2016,14.06,-0.0802,-0.567177268
3/7/2016,14.1402,0.0762,0.541808874
3/4/2016,14.064,0.0047,0.033429829
3/3/2016,14.0593,-0.0555,-0.393204296
3/2/2016,14.1148,0.0655,0.466215399
3/1/2016,14.0493,-0.1642,-1.155239737
2/29/2016,14.2135,-0.0709,-0.496345664
2/26/2016,14.2844,0.0119,0.083377124
2/25/2016,14.2725,0.0425,0.298664793
2/24/2016,14.23,-0.0284,-0.199180834
2/23/2016,14.2584,0.0288,0.202395008
2/22/2016,14.2296,-0.0783,-0.547250121
2/19/2016,14.3079,-0.0745,-0.517994215
2/18/2016,14.3824,0.082,0.573410534
2/17/2016,14.3004,-0.0177,-0.123619754
2/16/2016,14.3181,-0.1635,-1.129018893
2/15/2016,14.4816,-0.0224,-0.154440154
2/12/2016,14.504,-0.0388,-0.266798691
2/11/2016,14.5428,0.0507,0.349845778
2/10/2016,14.4921,-0.1177,-0.805623622
2/5/2016,14.6098,0.0021,0.01437598
2/4/2016,14.6077,0.0717,0.493258118
2/3/2016,14.536,-0.0731,-0.500373055
2/2/2016,14.6091,0.1481,1.024133877
2/1/2016,14.461,-0.1205,-0.826389603
1/29/2016,14.5815,0.0434,0.298525942
1/28/2016,14.5381,-0.2695,-1.820011346
1/27/2016,14.8076,-0.0099,-0.06681289
1/26/2016,14.8175,-0.2425,-1.610225764
1/25/2016,15.06,0.1275,0.85384229
1/22/2016,14.9325,-0.0123,-0.082302875
1/21/2016,14.9448,-0.3191,-2.090553528
1/20/2016,15.2639,-0.1859,-1.203251822
1/19/2016,15.4498,-0.1929,-1.233163073
1/18/2016,15.6427,0.04,0.256365885
1/15/2016,15.6027,0.0959,0.618438363
1/14/2016,15.5068,-0.029,-0.186665637
1/13/2016,15.5358,-0.02,-0.128569408
1/12/2016,15.5558,-0.0919,-0.587306761
1/11/2016,15.6477,0.0941,0.605004629
1/8/2016,15.5536,-0.0459,-0.2942402
1/7/2016,15.5995,0.0607,0.390635055
1/6/2016,15.5388,-0.1053,-0.673097206
1/5/2016,15.6441,-0.1302,-0.825393203
1/4/2016,15.7743,0.5943,3.915019763
