,Date,USDBRLH1W,USDBRLH1M,Spread,USDBRLH3M,USDBRLH6M,Spread
T,04/21/2016,25.5668,22.69,2.8764,22.627,20.108,2.519
W,04/20/2016,25.7489,24.857,0.8914,22.815,20.133,2.682
T,04/19/2016,25.8097,25.137,0.6725,22.876,20.167,2.71
M,04/18/2016,19.8652,23.818,-3.9527,22.416,19.942,2.475
F,04/15/2016,22.5482,22.426,0.1225,21.95,19.692,2.258
T,04/14/2016,28.3041,24.43,3.8743,21.89,19.634,2.256
W,04/13/2016,29.5933,24.484,5.109,21.888,20.152,1.737
T,04/12/2016,30.4369,26.395,4.0416,21.891,20.153,1.738
M,04/11/2016,32.5439,27.482,5.0615,21.924,20.376,1.548
F,04/08/2016,29.5845,26.039,3.5452,21.283,20.566,0.717
T,04/07/2016,23.294,24.892,-1.5977,20.566,20.183,0.383
W,04/06/2016,21.5636,25.383,-3.8197,20.435,20.115,0.32
T,04/05/2016,21.2492,25.255,-4.0056,20.348,20.416,-0.068
M,04/04/2016,17.9878,24.725,-6.7376,20.159,20.33,-0.171
F,04/01/2016,15.2372,24.042,-8.8049,20.167,20.259,-0.092
T,03/31/2016,12.7585,25.208,-12.4493,20.034,20.206,-0.172
W,03/30/2016,12.5946,25.366,-12.7716,20.022,20.388,-0.366
T,03/29/2016,23.4529,26.393,-2.9402,20.532,20.467,0.065
M,03/28/2016,24.5833,26.437,-1.8539,20.525,20.869,-0.344
F,03/25/2016,22.2679,26.173,-3.905,20.801,20.826,-0.025
T,03/24/2016,22.2779,26.174,-3.896,20.801,21.322,-0.521
W,03/23/2016,31.5895,26.164,5.4257,20.798,21.371,-0.573
T,03/22/2016,24.2007,24.137,0.0634,20.128,22.606,-2.478
M,03/21/2016,30.6338,24.76,5.8737,20.047,22.977,-2.929
F,03/18/2016,34.412,24.758,9.6539,20.105,23.093,-2.988
T,03/17/2016,35.2701,25.026,10.2438,20.775,23.138,-2.363
W,03/16/2016,29.9465,23.715,6.2313,19.822,22.773,-2.952
T,03/15/2016,32.6199,24.269,8.3505,19.791,22.893,-3.102
M,03/14/2016,26.0576,22.155,3.903,18.974,22.572,-3.598
F,03/11/2016,21.3205,20.803,0.5176,18.469,22.427,-3.958
T,03/10/2016,21.3342,21.283,0.0511,18.609,22.468,-3.859
W,03/09/2016,24.681,20.516,4.1654,18.578,22.346,-3.768
T,03/08/2016,21.479,19.395,2.0839,18.347,22.331,-3.984
M,03/07/2016,26.4284,19.226,7.2027,18.35,22.358,-4.008
F,03/04/2016,26.2945,19.134,7.1607,18.32,22.355,-4.035
T,03/03/2016,26.1066,18.763,7.344,18.195,22.302,-4.108
W,03/02/2016,19.2677,18.608,0.6596,17.97,22.368,-4.398
T,03/01/2016,18.2,18.501,-0.3008,17.923,22.348,-4.425
M,02/29/2016,8.4431,17.058,-8.6152,17.356,22.242,-4.886
F,02/26/2016,15.6112,18.011,-2.4,17.364,22.436,-5.072
T,02/25/2016,13.9008,17.967,-4.0665,18.081,22.445,-4.364
