year	IDnumber	recipe_title	star_rating	made_it_count	review_count	cal_count	prep_time	cook_time	total_time

1997	10032	Allison's Supreme Chocolate Chip Cookies	4.63461542129517	2	43	294	15M	12M	40M
1997	10044	Belgian Christmas Cookies	3.83333325386047	1	20	111	20M	10M	30M
1997	10141	Outrageous Chocolate Chip Cookies	4.68571424484253	449	1699	207	15M	10M	25M
1997	10201	Apricot Cream Cheese Thumbprints	4.43700790405273	34	218	89	15M	15M	2H30M
1997	9570	Peanut Butter Cookies I	2.75	5	54	254	15M	15M	30M
1997	9577	World's Best Oatmeal Cookies	4.43181800842285	0	38	109	15M	12M	27M
1997	9597	Sugar Cookies I	4	2	31	123	25M	8M	2H33M
1997	9603	Chocolate and Almond Biscotti	4.18032789230347	4	51	261	25M	50M	1H45M
1997	9668	Gingerbread Men	4.16417932510376	9	55	84	20M	10M	1Day30M
1997	9826	Italian Cookies I	4.31538438796997	26	114	156	25M	10M	35M
1997	9867	Sour Cream Cut-Outs	3.84848475456238	4	30	268	25M	10M	35M
1997	9870	Easy Sugar Cookies	4.47770214080811	2K	4519	86	15M	10M	25M
1997	9883	Snickerdoodles II	4.56652355194092	78	385	150	15M	10M	25M
1997	9903	Chewy Chocolate Cookies I	4.56140327453613	117	329	134	15M	10M	55M
1997	9909	Buckeyes I	4.46200609207153	191	529	331	15M	5M	50M
1997	9913	Shortbread Supreme	4.31884050369263	39	120	244	25M	12M	37M
1997	9948	Chocolate Chip Cookies I	4.54106283187866	56	177	549	15M	8M	23M
1997	9972	Rum or Bourbon Balls	4.52631568908691	66	178	194	10M	2M	7Days12M
1997	9976	Cookie Mix in a Jar I	4.20689678192139	17	49	139	20M	NA	20M
1997	9981	Crisp Oatmeal Cookies	4.65543079376221	19	238	127	15M	12M	27M
1998	10032	Allison's Supreme Chocolate Chip Cookies	4.63461542129517	2	43	294	15M	12M	40M
1998	10121	Make Ahead Cookie Mix	3.82352948188782	2	15	216	15M	NA	15M
1998	10380	Aunt Cora's World's Greatest Cookies	4.67352962493896	5	255	154	15M	15M	1H45M
1998	10664	Best Ever Chocolate Chip Cookies I	4.50892877578735	15	98	191	20M	15M	1H35M
1998	10757	Mom's Ginger Snaps	4.65802478790283	170	658	105	15M	12M	40M
1998	12082	Pecan Pie I	4.59701490402222	78	54	508	10M	55M	1H5M
1998	12398	Crustless Cranberry Pie	4.65920162200928	1K	858	335	15M	40M	55M
1998	12481	Old Fashioned Coconut Cream Pie	4.70193719863892	1K	1090	423	20M	30M	4H50M
1998	6674	Hawaiian Sweet Bread	4.15999984741211	4	37	150	NA	NA	NA
1998	6777	Banana Nut Bread I	4.60277795791626	96	291	256	10M	1H	1H10M
1998	6796	Cranberry Pumpkin Bread	4.41964292526245	9	87	209	15M	1H	1H25M
1998	6983	Garlic Bread	4.21621608734131	21	112	175	5M	3H	3H5M
1998	6996	Unable to connect	NA	NA	NA	NA	NA	NA	NA
1998	7540	Unable to connect	NA	NA	NA	NA	NA	NA	NA
1998	7620	Unable to connect	NA	NA	NA	NA	NA	NA	NA
1998	7686	Unable to connect	NA	NA	NA	NA	NA	NA	NA
1998	8016	Unable to connect	NA	NA	NA	NA	NA	NA	NA
1998	9577	Unable to connect	NA	NA	NA	NA	NA	NA	NA
1998	9615	Unable to connect	NA	NA	NA	NA	NA	NA	NA
1998	9976	Unable to connect	NA	NA	NA	NA	NA	NA	NA
