idnumber	_id	cal_count	cook_time	made_it_count	prep_time	recipe_title	review_count	star_rating	total_time	year
8350	5740f3a5f0f8937c637563bb	533	60	2000	30	Chantal's New York Cheesecake	4813	4.7169623374939	450	2008
8669	5740f3b7f0f8937c637563c6	584	45	1000	15	Chicken Cordon Bleu II	4189	4.77739000320435	60	2008
8941	5740f3c6f0f8937c637563cc	385	360	2000	10	Slow Cooker Chicken and Dumplings	6299	4.36035203933716	370	2008
9870	5740f3d9f0f8937c637563d4	86	10	2000	15	Easy Sugar Cookies	4519	4.47770214080811	25	2008
10497	5740f3f0f0f8937c637563e2	144	12	331	15	Beth's Spicy Oatmeal Raisin Cookies	3597	4.74303913116455	50	2009
12682	5740f400f0f8937c637563ea	512	60	9000	30	Apple Pie by Grandma Ople	6944	4.770592212677	90	2009
139012	5740f40ff0f8937c637563f0	110	3	3000	10	Jalapeno Popper Spread	2720	4.74029922485352	13	2009
14231	5740f41ff0f8937c637563f9	262		5000	10	Guacamole	3791	4.80391836166382	10	2009
14469	5740f42ef0f8937c63756406	338	10	3000	10	Jamie's Cranberry Spinach Salad	2682	4.78761529922485	20	2009
17165	5740f43ff0f8937c63756413	143	10	5000	15	Big Soft Ginger Cookies	4096	4.73919439315796	50	2009
17652	5740f452f0f8937c63756420	263	20	11000	15	Banana Crumb Muffins	9138	4.79995203018188	35	2009
20156	5740f46bf0f8937c63756430	525	15	6000	20	Clone of a Cinnabon	5471	4.81670379638672	180	2009
21174	5740f479f0f8937c63756434	355	270	3000	15	BBQ Pork for Sandwiches	2434	4.78854894638062	285	2009
23600	5740f48bf0f8937c6375644a	448	150	15000	30	World's Best Lasagna	9830	4.78324794769287	195	2009
26317	5740f49ff0f8937c63756458	415	50	10000	20	Chicken Pot Pie IX	7253	4.81115436553955	70	2009
26692	5740f4b3f0f8937c63756463	312	10	3000	15	Annie's Fruit Salsa and Cinnamon Chips	3206	4.77678155899048	45	2009
56927	5740f4c1f0f8937c6375646f	195	25	12000	20	Delicious Ham and Potato Soup	9117	4.83456802368164	45	2009
6698	5740f4d4f0f8937c6375647b	255	60	2000	20	Mom's Zucchini Bread	5698	4.75955486297607	100	2009
