idnumber	_id	cal_count	cook_time	made_it_count	prep_time	recipe_title	review_count	star_rating	total_time	year
7063	5740e5eaf0f8937c63755b8d	34		90	30	Amish Friendship Bread Starter	282	4.69945335388184	13000	1999
7267	5740e5f8f0f8937c63755b95	367	150	1	30	Best Cheesecake on Earth	60	4.09722232818604	190	1999
7516	5740e605f0f8937c63755ba6	367		3		Best Chocolate Cake	33	3.95000004768372		1999
8522	5740e614f0f8937c63755bae	357		39		Oh-So-Good Chicken	408	4.2854642868042		1999
9066	5740e624f0f8937c63755bb8	387	60	112	15	Awesome Broccoli-Cheese Casserole	429	4.30675888061523	75	1999
10033	5740e640f0f8937c63755bc9	122	20	747	20	Iced Pumpkin Cookies	2942	4.71510553359985	80	2000
10337	5740e64ef0f8937c63755bd5	112	12	91	15	Beth's Chocolate Chip Cookies	688	4.51901817321777	30	2000
10642	5740e660f0f8937c63755be1	253	10	45	20	Caramel Filled Chocolate Cookies	652	4.65079355239868	180	2000
10687	5740e670f0f8937c63755bed	92	10	1000	20	Mrs. Sigg's Snickerdoodles	4038	4.73642683029175	60	2000
11024	5740e67ef0f8937c63755bf8	106	10	296	15	Joey's Peanut Butter Cookies	1200	4.32309722900391	60	2000
11729	5740e68ff0f8937c63755c0a	664	90	2000	30	American Lasagna	1733	4.67683410644531	120	2000
12009	5740e6a3f0f8937c63755c1a	1109	15	2000	15	Cajun Chicken Pasta	1703	4.67338705062866	30	2000
12142	5740e6b3f0f8937c63755c24	389	110	3000	30	Sweet Potato Pie I	1852	4.78704500198364	140	2000
13681	5740e6c3f0f8937c63755c2e	451	30	524	10	Praline Sweet Potatoes	455	4.72450828552246	40	2000
14146	5740e6d3f0f8937c63755c38	421	10	728	15	BLT Salad	597	4.59620237350464	25	2000
14276	5740e6edf0f8937c63755c44	491		2000	10	Strawberry Spinach Salad I	1783	4.77161931991577	70	2000
14469	5740e702f0f8937c63755c51	338	10	3000	10	Jamie's Cranberry Spinach Salad	2682	4.78761529922485	20	2000
6820	5740e714f0f8937c63755c5e	263	50	2000	15	Downeast Maine Pumpkin Bread	6440	4.80801868438721	65	2000
6984	5740e725f0f8937c63755c6c	263	60	1000	10	Banana Sour Cream Bread	3783	4.76799535751343	70	2000
7245	5740e734f0f8937c63755c73	119	20	265	30	Jay's Signature Pizza Crust	3063	4.69110727310181	110	2000
7515	5740e740f0f8937c63755c79	193	60	174	30	Better Than Sex Cake II	908	4.63330602645874	90	2000
8350	5740e755f0f8937c63755c83	533	60	2000	30	Chantal's New York Cheesecake	4813	4.7169623374939	450	2000
9362	5740e766f0f8937c63755c8b	165	20	130	10	Microwave Oven Peanut Brittle	904	4.72413778305054	30	2000
9804	5740e774f0f8937c63755c99	141	8	253	15	Urban Legend Chocolate Chip Cookies	602	4.55364227294922	60	2000
9832	5740e784f0f8937c63755ca1	110		214	10	No Bake Cookies I	710	4.6158127784729	45	2000
10497	5740e7aaf0f8937c63755caf	144	12	331	15	Beth's Spicy Oatmeal Raisin Cookies	3597	4.74303913116455	50	2001
10642	5740e7c0f0f8937c63755cbb	253	10	45	20	Caramel Filled Chocolate Cookies	652	4.65079355239868	180	2001
10687	5740e7d2f0f8937c63755cc7	92	10	1000	20	Mrs. Sigg's Snickerdoodles	4038	4.73642683029175	60	2001
11729	5740e7e4f0f8937c63755cd9	664	90	2000	30	American Lasagna	1733	4.67683410644531	120	2001
12298	5740e7f6f0f8937c63755ce1	358	40	905	30	Apple Crumble Pie	761	4.70709133148193	70	2001
12409	5740e80ff0f8937c63755ced	316	45	6000	30	Apple Crisp II	4388	4.69281482696533	80	2001
12698	5740e825f0f8937c63755cf2	324	15	1000	20	Easy Key Lime Pie I	1061	4.65499258041382	35	2001
14469	5740e844f0f8937c63755cff	338	10	3000	10	Jamie's Cranberry Spinach Salad	2682	4.78761529922485	20	2001
