year	IDnumber	ingredient
1998	6796	2 tablespoons chopped walnuts
1998	6983	1 3/8 cups water
1998	6983	3 tablespoons olive oil
1998	6983	1 teaspoon minced garlic
1998	6983	4 cups bread flour
1998	6983	3 tablespoons white sugar
1998	6983	2 teaspoons salt
1998	6983	1/4 cup grated Parmesan cheese
1998	6983	1 teaspoon dried basil
1998	6983	1 teaspoon garlic powder
1998	6983	3 tablespoons chopped fresh chives
1998	6983	1 teaspoon coarsely ground black pepper
1998	6983	2 1/2 teaspoons bread machine yeast








